product_title,product_id,variant_id,sku,product_collection
Positively Pink - 2 Items,4556891684922,32009602924602,745934343358,Positively Pink - 2 Items
Positively Pink - 3 Items,4556893585466,32009609379898,745934343365,Positively Pink - 3 Items
Positively Pink - 5 Items,4556894175290,32009610362938,745934343372,Positively Pink - 5 Items
Namaste In - 2 Items,4557439467578,32012301434938,745934343389,Namaste In - 2 Items
Namaste In - 3 Items,4557439860794,32012304810042,745934343396,Namaste In - 3 Items
Namaste In - 5 Items,4557440254010,32012305465402,745934343402,Namaste In - 5 Items
Guiding Light - 2 Items,4555742183482,32001928134714,745934335544,Guiding Light - 2 Items
Guiding Light - 3 Items,4555742609466,32001935573050,745934335551,Guiding Light - 3 Items
Guiding Light - 5 Items,4555743821882,32001942585402,745934335568,Guiding Light - 5 Items
Full Bloom - 2 Items,4557441007674,32012308316218,745934343419,Full Bloom - 2 Items
Full Bloom - 3 Items,4557441073210,32012308381754,745934343426,Full Bloom - 3 Items
Full Bloom - 5 Items,4557442252858,32012312805434,745934343433,Full Bloom - 5 Items
What A Gem - 2 Items,4557458964538,32012402786362,745934343471,What A Gem - 2 Items
What A Gem - 3 Items,4557459030074,32012403048506,745934343488,What A Gem - 3 Items
What A Gem - 5 Items,4557459488826,32012407144506,745934343495,What A Gem - 5 Items
