collection_name,collection_id,inventory_available,inventory_reserved,size,mytype
Power of Pink - 5 Items,1,235,0,XS,tops
Power of Pink - 5 Items,1,1223,0,S,tops
Power of Pink - 5 Items,1,1447,0,M,tops
Power of Pink - 5 Items,1,889,0,L,tops
Power of Pink - 5 Items,1,442,0,XL,tops
Power of Pink - 5 Items,1,169,0,XS,leggings
Power of Pink - 5 Items,1,1108,0,S,leggings
Power of Pink - 5 Items,1,1638,0,M,leggings
Power of Pink - 5 Items,1,955,0,L,leggings
Power of Pink - 5 Items,1,365,0,XL,leggings
Power of Pink - 5 Items,1,95,0,XS,sports-bra
Power of Pink - 5 Items,1,925,0,S,sports-bra
Power of Pink - 5 Items,1,1673,0,M,sports-bra
Power of Pink - 5 Items,1,1068,0,L,sports-bra
Power of Pink - 5 Items,1,474,0,XL,sports-bra
English Fog - 5 Items,2,235,0,XS,tops
English Fog - 5 Items,2,1223,0,S,tops
English Fog - 5 Items,2,1447,0,M,tops
English Fog - 5 Items,2,889,0,L,tops
English Fog - 5 Items,2,442,0,XL,tops
English Fog - 5 Items,2,169,0,XS,leggings
English Fog - 5 Items,2,1108,0,S,leggings
English Fog - 5 Items,2,1638,0,M,leggings
English Fog - 5 Items,2,955,0,L,leggings
English Fog - 5 Items,2,365,0,XL,leggings
English Fog - 5 Items,2,95,0,XS,sports-bra
English Fog - 5 Items,2,925,0,S,sports-bra
English Fog - 5 Items,2,1673,0,M,sports-bra
English Fog - 5 Items,2,1068,0,L,sports-bra
English Fog - 5 Items,2,474,0,XL,sports-bra
Ultraviolet - 5 Items,3,383,0,XS,tops
Ultraviolet - 5 Items,3,1079,0,S,tops
Ultraviolet - 5 Items,3,1413,0,M,tops
Ultraviolet - 5 Items,3,909,0,L,tops
Ultraviolet - 5 Items,3,450,0,XL,tops
Ultraviolet - 5 Items,3,169,0,XS,leggings
Ultraviolet - 5 Items,3,1108,0,S,leggings
Ultraviolet - 5 Items,3,1638,0,M,leggings
Ultraviolet - 5 Items,3,955,0,L,leggings
Ultraviolet - 5 Items,3,365,0,XL,leggings
Ultraviolet - 5 Items,3,95,0,XS,sports-bra
Ultraviolet - 5 Items,3,925,0,S,sports-bra
Ultraviolet - 5 Items,3,1673,0,M,sports-bra
Ultraviolet - 5 Items,3,1068,0,L,sports-bra
Ultraviolet - 5 Items,3,474,0,XL,sports-bra
Sparkling Onyx - 5 Items,4,120,0,XS,tops
Sparkling Onyx - 5 Items,4,623,0,S,tops
Sparkling Onyx - 5 Items,4,737,0,M,tops
Sparkling Onyx - 5 Items,4,453,0,L,tops
Sparkling Onyx - 5 Items,4,225,0,XL,tops
Sparkling Onyx - 5 Items,4,86,0,XS,leggings
Sparkling Onyx - 5 Items,4,564,0,S,leggings
Sparkling Onyx - 5 Items,4,835,0,M,leggings
Sparkling Onyx - 5 Items,4,487,0,L,leggings
Sparkling Onyx - 5 Items,4,186,0,XL,leggings
Sparkling Onyx - 5 Items,4,48,0,XS,sports-bra
Sparkling Onyx - 5 Items,4,472,0,S,sports-bra
Sparkling Onyx - 5 Items,4,853,0,M,sports-bra
Sparkling Onyx - 5 Items,4,544,0,L,sports-bra
Sparkling Onyx - 5 Items,4,242,0,XL,sports-bra
