product_title,incoming_product_id,prod_type,outgoing_product_id
Blue Skies - 2 Items,4398409089082,2,4398406959162
Blue Skies - 3 Items,4398409089082,3,4398408073274
Blue Skies - 5 Items,4398409089082,5,4398409089082
Making Moves - 2 Items,4398463877178,2,4398463418426
Making Moves - 3 Items,4398463877178,3,4398463516730
Making Moves - 5 Items,4398463877178,5,4398463877178
Under The Radar - 2 Items,4399643066426,2,4398464499770
Under The Radar - 3 Items,4399643066426,3,4398464565306
Under The Radar - 5 Items,4399643066426,5,4399643066426
Bahama Babe - 2 Items,4399644934202,2,4399644442682
Bahama Babe - 3 Items,4399644934202,3,4399644639290
Bahama Babe - 5 Items,4399644934202,5,4399644934202
Wave Runner - 2 Items,4399737995322,2,4399737405498
Wave Runner - 3 Items,4399737995322,3,4399737798714
Wave Runner - 5 Items,4399737995322,5,4399737995322
Queen Vibes - 2 Items,4399738912826,2,4399738388538
Queen Vibes - 3 Items,4399738912826,3,4399738585146
Queen Vibes - 5 Items,4399738912826,5,4399738912826
