,SUBS,,
count,product_collection,,
1,Azure Dreams - 5 Items,,
1171,Ellie Picks - 2 Items,,
16779,Ellie Picks - 3 Items,,
2916,Ellie Picks - 5 Items,,
21,Head In The Clouds - 3 Items,,
5,Head In The Clouds - 5 Items,,
174,Viper Vibe - 2 Items,,
3149,Viper Vibe - 3 Items,,
456,Viper Vibe - 5 Items,,
,,,
,ORDERS,,
99,Ellie Picks - 2 Items,,
1485,Ellie Picks - 3 Items,,
388,Ellie Picks - 5 Items,,
16,Head In The Clouds - 2 Items,,
341,Head In The Clouds - 3 Items,,
80,Head In The Clouds - 5 Items,,
1,Heart Felt - 3 Items,,"These two are nested properties orders, sent email to ReCharge support and CC'd Laura Rhaney, Laura Perry, Gabby Castro on these"
1,Tilt The Scale - 3 Items,,
