product_title,shopify_product_id
Adventure Time - 5 Items,2477581795386
Back To Basics - 3 Items,4408141643834
Back To Basics - 3 Items Auto renew,4408141643834
Back To Basics - 5 Items,4408142102586
Back To Basics - 5 Items Auto renew,4408142102586
Bahama Babe - 3 Items,4399644639290
Bahama Babe - 3 Items Auto renew,4399644639290
Bahama Babe - 5 Items,4399644934202
Bayside Breeze - 3 Items,4382371840058
Berry Crush - 3 Items,4366057406522
Berry Crush - 3 Items  Auto renew,4366057406522
Berry Crush - 5 Items,4366057963578
Blue Skies - 3 Items,4398408073274
Blue Skies - 3 Items Auto renew,4398408073274
Blue Skies - 5 Items,4398409089082
Boss Babe - 3 Items,2525980524602
City Limits - 3 Items,4366061174842
City Limits - 3 Items  Auto renew,4366061174842
City Limits - 5 Items,4366066024506
City Limits - 5 Items  Auto renew,4366066024506
City Limits - The January Collection (2020),4366061174842
Clean Slate - 3 Items,4373264957498
Clean Slate - 5 Items,4373306998842
Cupids Kiss - 3 Items,4382378229818
Cupids Kiss - 3 Items Auto renew,4382378229818
Cupids Kiss - 5 Items,4382378360890
Cupids Kiss - 5 Items Auto renew,4382378360890
Dream On - 3 Items,4408153833530
Dream On - 3 Items Auto renew,4408153833530
Dream On - 5 Items,4408154161210
Dream On - 5 Items Auto renew,4408154161210
Ellie Picks - 3 Items,4399742746682
Ellie Picks - 3 Items Auto renew,4399742746682
Ellie Picks - 5 Items,4399742910522
Ellie Picks - 5 Items Auto renew,4399742910522
Fierce & Floral - 5 Items,2227259342906
Floral Bliss - 3 Items,4320725106746
Floral Bliss - 3 Items  Auto renew,4320725106746
Floral Bliss - 5 Items,4320726024250
Floral Bliss - 5 Items  Auto renew,4320726024250
Flower Bud - 3 Items,2267632697402
Gear Up - 5 Items  Auto renew,4320732905530
Glow Getter - 3 Items,4408155701306
Glow Getter - 3 Items Auto renew,4408155701306
Glow Getter - 5 Items,4408176607290
Glow Getter - 5 Items Auto renew,4408176607290
Hidden Gem - 3 Items,4382369906746
Kaleidoscope - 3 Items,4408154718266
Kaleidoscope - 3 Items Auto renew,4408154718266
Kaleidoscope - 5 Items,4408154980410
Kaleidoscope - 5 Items Auto renew,4408154980410
Knockout - 3 Items,4382379475002
Making Moves - 3 Items,4398463516730
Making Moves - 5 Items,4398463877178
Matcha Cha Cha - 3 Items,4408142463034
Matcha Cha Cha - 3 Items Auto renew,4408142463034
Matcha Cha Cha - 5 Items,4408153047098
Matcha Cha Cha - 5 Items Auto renew,4408153047098
Namaste & Slay - 5 Items,2494107156538
Out Of The Blue - 3 Items,4385218953274
Prism Perfect - 3 Items  Auto renew,2339796320314
Queen Vibes - 3 Items,4399738585146
Queen Vibes - 3 Items Auto renew,4399738585146
Rise Up - 5 Items,2372785438778
Rose Quartz - 5 Items,2372787535930
Ruby Sheen - 3 Items,4320735559738
Supernova - 3 Items,4382368890938
Supernova - 3 Items Auto renew,4382368890938
Supernova - 5 Items,4382369349690
True Blue - 3 Items,2226409963578
Under The Radar - 3 Items,4398464565306
Under The Radar - 3 Items Auto renew,4398464565306
Under The Radar - 5 Items,4399643066426
Under The Radar - 5 Items Auto renew,4399643066426
Victory Lap - 3 Items,2372782751802
Violet Rhapsody - 3 Items,4408177164346
Violet Rhapsody - 3 Items Auto renew,4408177164346
Violet Rhapsody - 5 Items,4408177918010
Violet Rhapsody - 5 Items Auto renew,4408177918010
Wave Runner - 3 Items,4399737798714
Wave Runner - 5 Items,4399737995322
