product_title,shopify_product_id,prod_type
Bahama Babe - 2 Items,4399644442682,2
Bahama Babe - 3 Items,4399644639290,3
Bahama Babe - 5 Items,4399644934202,5
Berry Crush - 2 Items,4366057209914,2
Berry Crush - 3 Items,4366057406522,3
Berry Crush - 5 Items,4366057963578,5
Berry Crush - 5 Items  Auto renew,4366057963578,5
Blue Skies - 2 Items,4398406959162,2
Blue Skies - 3 Items,4398408073274,3
Blue Skies - 5 Items,4398409089082,5
Calypso - 2 Items,4429044121658,2
Calypso - 3 Items,4429051559994,3
Calypso - 5 Items,4429052051514,5
Citrus Kick - 2 Items,4428799148090,2
Citrus Kick - 3 Items,4428800327738,3
Citrus Kick - 5 Items,4428803113018,5
City Limits - 2 Items,4366060453946,2
City Limits - 3 Items,4366061174842,3
City Limits - 5 Items,4366066024506,5
Cupids Kiss - 2 Items,4382377443386,2
Cupids Kiss - The March Collection (2020),4382378229818,3
Dream On - 3 Items,4408153833530,3
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Floral Bliss - 3 Items,4320725106746,3
Golden Girl - 2 Items,4438599565370,2
Golden Girl - 3 Items,4438600876090,3
Golden Girl - 5 Items,4438603169850,5
Kaleidoscope - 2 Items,4408154587194,2
Kaleidoscope - 3 Items,4408154718266,3
Matcha Cha Cha - 2 Items,4408142331962,2
Matcha Cha Cha - 3 Items,4408142463034,3
Matcha Cha Cha - 3 Items Auto renew,4408142463034,3
Matcha Cha Cha - 5 Items,4408153047098,5
Natural Fit - 2 Items,4428897943610,2
Natural Fit - 3 Items,4428899516474,3
Natural Fit - 5 Items,4428900532282,5
Pacific Mist - 2 Items,4427335696442,2
Pacific Mist - 3 Items,4427336384570,3
Pacific Mist - 5 Items,4427336777786,5
Paradise Cove - 2 Items,4366058225722,2
Paradise Cove - 3 Items,4366058782778,3
Paradise Cove - 5 Items,4366059143226,5
Pinky Swear - 2 Items,4429078659130,2
Pinky Swear - 3 Items,4429079576634,3
Pinky Swear - 5 Items,4429080035386,5
Pinky Swear - 5 Items Auto renew,4429080035386,5
Spring Into Action - 2 Items,4438603726906,2
Spring Into Action - 3 Items,4438604349498,3
Spring Into Action - 5 Items,4438605267002,5
Supernova - 2 Items,4382368825402,2
Tie Game - 2 Items,4429126041658,2
Tie Game - 3 Items,4429126860858,3
Tie Game - 5 Items,4429130137658,5
Under The Radar - 3 Items,4398464565306,3
