product_title,shopify_product_id,prod_type
Bahama Babe - 2 Items,4399644442682,2
Bahama Babe - 2 Items Auto renew,4399644442682,2
Bahama Babe - 3 Items,4399644639290,3
Bahama Babe - 3 Items Auto renew,4399644639290,3
Bahama Babe - 5 Items,4399644934202,5
Bahama Babe - 5 Items Auto renew,4399644934202,5
Bayside Breeze - 3 Items,4382371840058,3
Bayside Breeze - 5 Items,4382372233274,5
Beach Bash - 3 Items,2457951502394,3
Berry Crush - 2 Items,4366057209914,2
Berry Crush - 3 Items,4366057406522,3
Berry Crush - 3 Items  Auto renew,4366057406522,3
Berry Crush - 5 Items,4366057963578,5
Berry Crush - 5 Items  Auto renew,4366057963578,5
Blue Skies - 2 Items,4398406959162,2
Blue Skies - 3 Items,4398408073274,3
Blue Skies - 3 Items Auto renew,4398408073274,3
Blue Skies - 5 Items,4398409089082,5
Blue Skies - 5 Items Auto renew,4398409089082,5
Boss Babe - 3 Items,2525980524602,3
Boss Babe - 5 Items,2525981343802,5
Catch Up - 3 Items,2405033246778,3
City Limits - 3 Items,4366061174842,3
City Limits - 5 Items,4366066024506,5
Clean Slate - 2 Items,4373264597050,2
Clean Slate - 3 Items,4373264957498,3
Clean Slate - 3 Items Auto renew,4373264957498,3
Clean Slate - 5 Items,4373306998842,5
Clean Slate - 5 Items Auto renew,4373306998842,5
Comfort Zone - 3 Items,4320734609466,3
Crunch Time - 5 Items,4366080311354,5
Cupids Kiss - 3 Items,4382378229818,3
Cupids Kiss - 5 Items,4382378360890,5
Ellie Picks - 5 Items,4399742910522,5
Fierce & Floral - 3 Items,2227262881850,3
Floral Bliss - 2 Items,4320724910138,2
Floral Bliss - 2 Items  Auto renew,4320724910138,2
Floral Bliss - 3 Items,4320725106746,3
Floral Bliss - 3 Items  Auto renew,4320725106746,3
Floral Bliss - 5 Items,4320726024250,5
Floral Bliss - 5 Items  Auto renew,4320726024250,5
Gear Up - 5 Items,4320732905530,5
Gear Up - The December Collection (2019),4320731660346,3
Good Karma - 5 Items,4320757973050,5
Hidden Gem - 2 Items,4382369808442,2
Hidden Gem - 2 Items Auto renew,4382369808442,2
Hidden Gem - 3 Items,4382369906746,3
Hidden Gem - 3 Items Auto renew,4382369906746,3
Hidden Gem - 5 Items,4382370824250,5
Hidden Gem - 5 Items Auto renew,4382370824250,5
Ivy League - 2 Items,4366077132858,2
Ivy League - 3 Items,4366077591610,3
Knockout - 3 Items,4382379475002,3
Making Moves - 2 Items,4398463418426,2
Making Moves - 2 Items Auto renew,4398463418426,2
Making Moves - 3 Items,4398463516730,3
Making Moves - 3 Items Auto renew,4398463516730,3
Making Moves - 5 Items,4398463877178,5
Making Moves - 5 Items Auto renew,4398463877178,5
Making Moves 2 - 3 Items Auto renew,4411618754618,3
Making Moves 2 - 5 Items Auto renew,4411618820154,5
Namaste & Slay - 2 Items,2496309723194,2
Namaste & Slay - 2 Items  Auto renew,2496309723194,2
Namaste & Slay - 3 Items,2494106861626,3
Namaste & Slay - 3 Items  Auto renew,2494106861626,3
Namaste & Slay - 5 Items,2494107156538,5
Namaste & Slay - 5 Items  Auto renew,2494107156538,5
Off The Track - 3 Items,2405032362042,3
Out Of The Blue - 3 Items,4385218953274,3
Paradise Cove - 3 Items,4366058782778,3
Paradise Cove - 5 Items,4366059143226,5
Power of Pink - 3 Items,2514826788922,3
Power of Pink - 5 Items,2514827083834,5
Print Paradise - 3 Items,1446651330618,3
Queen Vibes - 2 Items,4399738388538,2
Queen Vibes - 2 Items Auto renew,4399738388538,2
Queen Vibes - 3 Items,4399738585146,3
Queen Vibes - 3 Items Auto renew,4399738585146,3
Queen Vibes - 5 Items,4399738912826,5
Queen Vibes - 5 Items Auto renew,4399738912826,5
Ready Set Go - 3 Items,4385207582778,3
Ready Set Go - 5 Items,4385217249338,5
Second Skin - 3 Items,2525983998010,3
Show Your Stripes - 2 Items,4320727367738,2
Show Your Stripes - 3 Items,4320729464890,3
Show Your Stripes - 3 Items  Auto renew,4320729464890,3
Show Your Stripes - 5 Items,4320730775610,5
Show Your Stripes - 5 Items  Auto renew,4320730775610,5
Supernova - 3 Items,4382368890938,3
Supernova - 3 Items Auto renew,4382368890938,3
Supernova - 5 Items,4382369349690,5
Ultraviolet - 3 Items,2514833440826,3
Under The Radar - 2 Items,4398464499770,2
Under The Radar - 2 Items Auto renew,4398464499770,2
Under The Radar - 3 Items,4398464565306,3
Under The Radar - 3 Items Auto renew,4398464565306,3
Under The Radar - 5 Items,4399643066426,5
Under The Radar - 5 Items Auto renew,4399643066426,5
Victory Lap - 3 Items,2372782751802,3
Wave Runner - 2 Items,4399737405498,2
Wave Runner - 2 Items Auto renew,4399737405498,2
Wave Runner - 3 Items,4399737798714,3
Wave Runner - 3 Items Auto renew,4399737798714,3
Wave Runner - 5 Items,4399737995322,5
Wave Runner - 5 Items Auto renew,4399737995322,5
Wild Heart - 3 Items,2494104535098,3
Winter Rose - 3 Items,4320726581306,3
