count,product_title,shopify_product_id
17,Azure Dreams - 2 Items,4656647897146
329,Azure Dreams - 3 Items,4656649044026
2,Azure Dreams - 3 Items Auto renew,4656649044026
78,Azure Dreams - 5 Items,4656650682426
1,Berry Crush - 3 Items,4366057406522
4,Core Strength - 2 Items,4656680140858
105,Core Strength - 3 Items,4656680599610
45,Core Strength - 5 Items,4656682238010
1,Core Strength - 5 Items Auto renew,4656682238010
1,Desert Sage - 3 Item,197985992722
140,Ellie Picks - 2 Items,4399742615610
1606,Ellie Picks - 3 Items,4399742746682
4,Ellie Picks - 3 Items Auto renew,4399742746682
309,Ellie Picks - 5 Items,4399742910522
2,Funfetti - 3 Items,4620660965434
1,Guiding Light - 3 Items,4555742609466
28,Head In The Clouds - 2 Items,4656651665466
1,Head In The Clouds - 2 Items Auto renew,4656651665466
428,Head In The Clouds - 3 Items,4656652386362
6,Head In The Clouds - 3 Items Auto renew,4656652386362
109,Head In The Clouds - 5 Items,4656671031354
4,Head In The Clouds - 5 Items Auto renew,4656671031354
13,Iridescent Dreams - 3 Items,4637681647674
5,Iridescent Dreams - 5 Items,4637692788794
1,Island Splash - 2 Items,4620664504378
9,Island Splash - 3 Items,4620664733754
2,Island Splash - 3 Items Auto renew,4620664733754
3,Island Splash - 5 Items,4620665782330
1,Island Splash - 5 Items Auto renew,4620665782330
2,Midnight Garden - 2 Items,4638111268922
25,Midnight Garden - 3 Items,4638111989818
4,Midnight Garden - 5 Items,4638113300538
2,Midnight Sky - 2 Items,4601240518714
28,Midnight Sky - 3 Items,4601240649786
3,Midnight Sky - 5 Items,4601242091578
45,On The Flipside - 2 Items,4657193910330
177,On The Flipside - 3 Items,4657194172474
4,On The Flipside - 3 Items Auto renew,4657194172474
39,On The Flipside - 5 Items,4657194893370
6,On The Run - 2 Items,4620652576826
102,On The Run - 3 Items,4620652773434
14,On The Run - 5 Items,4620653887546
1,On The Run - 5 Items Auto renew,4620653887546
3,Polar Perfection - 2 Items,4601237143610
41,Polar Perfection - 3 Items,4601237667898
2,Polar Perfection - 3 Items Auto renew,4601237667898
9,Polar Perfection - 5 Items,4601238028346
1,Posies In Paris - 3 Items,4601253134394
1,Positively Pink - 2 Items,4556891684922
23,Positively Pink - 3 Items,4556893585466
4,Positively Pink - 5 Items,4556894175290
2,Powerhouse - 2 Items,6535517175866
27,Powerhouse - 3 Items,6535624720442
4,Powerhouse - 5 Items,6535625408570
12,Precious Peak - 2 Items,4656679092282
2,Precious Peak - 2 Items Auto renew,4656679092282
270,Precious Peak - 3 Items,4656679288890
3,Precious Peak - 3 Items Auto renew,4656679288890
46,Precious Peak - 5 Items,4657190633530
3,Purple Haze - 2 Items,4574052548666
1,Purple Haze - 2 Items Auto renew,4574052548666
13,Purple Haze - 3 Items,4574053400634
7,Purple Haze - 5 Items,4574054285370
7,Rosy Outlook - 2 Items,4637700358202
75,Rosy Outlook - 3 Items,4637714186298
2,Rosy Outlook - 3 Items Auto renew,4637714186298
12,Rosy Outlook - 5 Items,4637731094586
1,Second Skin - 3 Items,2525983998010
3,Tilt The Scale - 2 Items,4637735518266
1,Tilt The Scale - 2 Items Auto renew,4637735518266
55,Tilt The Scale - 3 Items,4638087872570
1,Tilt The Scale - 3 Items Auto renew,4638087872570
13,Tilt The Scale - 5 Items,4638110941242
1,Unapologetic - 2 Items,4656672309306
53,Unapologetic - 3 Items,4656673947706
1,Unapologetic - 3 Items Auto renew,4656673947706
24,Unapologetic - 5 Items,4656676667450
54,Viper Vibe - 2 Items,4656677650490
3,Viper Vibe - 2 Items Auto renew,4656677650490
743,Viper Vibe - 3 Items,6535405928506
3,Viper Vibe - 3 Items Auto renew,6535405928506
145,Viper Vibe - 5 Items,4656678731834
4,Winter Bloom - 2 Items,4601238618170
85,Winter Bloom - 3 Items,4601239044154
12,Winter Bloom - 5 Items,4601239699514
