product_title,shopify_product_id
Bahama Babe - 2 Items,4399644442682
Bahama Babe - 2 Items Auto renew,4399644442682
Bahama Babe - 3 Items,4399644639290
Bahama Babe - 3 Items Auto renew,4399644639290
Bahama Babe - 5 Items,4399644934202
Bahama Babe - 5 Items Auto renew,4399644934202
Bayside Breeze - 3 Items,4382371840058
Bayside Breeze - 5 Items,4382372233274
Beach Bash - 3 Items,2457951502394
Berry Crush - 2 Items,4366057209914
Berry Crush - 3 Items,4366057406522
Berry Crush - 3 Items  Auto renew,4366057406522
Berry Crush - 5 Items,4366057963578
Berry Crush - 5 Items  Auto renew,4366057963578
Blue Skies - 2 Items,4398406959162
Blue Skies - 3 Items,4398408073274
Blue Skies - 3 Items Auto renew,4398408073274
Blue Skies - 5 Items,4398409089082
Blue Skies - 5 Items Auto renew,4398409089082
Boss Babe - 3 Items,2525980524602
Boss Babe - 5 Items,2525981343802
Catch Up - 3 Items,2405033246778
City Limits - 3 Items,4366061174842
City Limits - 5 Items,4366066024506
Clean Slate - 2 Items,4373264597050
Clean Slate - 3 Items,4373264957498
Clean Slate - 3 Items Auto renew,4373264957498
Clean Slate - 5 Items,4373306998842
Clean Slate - 5 Items Auto renew,4373306998842
Comfort Zone - 3 Items,4320734609466
Crunch Time - 5 Items,4366080311354
Cupids Kiss - 3 Items,4382378229818
Cupids Kiss - 5 Items,4382378360890
Ellie Picks - 5 Items,4399742910522
Fierce & Floral - 3 Items,2227262881850
Floral Bliss - 2 Items,4320724910138
Floral Bliss - 2 Items  Auto renew,4320724910138
Floral Bliss - 3 Items,4320725106746
Floral Bliss - 3 Items  Auto renew,4320725106746
Floral Bliss - 5 Items,4320726024250
Floral Bliss - 5 Items  Auto renew,4320726024250
Gear Up - 5 Items,4320732905530
Gear Up - The December Collection (2019),4320731660346
Good Karma - 5 Items,4320757973050
Hidden Gem - 2 Items,4382369808442
Hidden Gem - 2 Items Auto renew,4382369808442
Hidden Gem - 3 Items,4382369906746
Hidden Gem - 3 Items Auto renew,4382369906746
Hidden Gem - 5 Items,4382370824250
Hidden Gem - 5 Items Auto renew,4382370824250
Ivy League - 2 Items,4366077132858
Ivy League - 3 Items,4366077591610
Knockout - 3 Items,4382379475002
Making Moves - 2 Items,4398463418426
Making Moves - 2 Items Auto renew,4398463418426
Making Moves - 3 Items,4398463516730
Making Moves - 3 Items Auto renew,4398463516730
Making Moves - 5 Items,4398463877178
Making Moves - 5 Items Auto renew,4398463877178
Making Moves 2 - 3 Items Auto renew,4411618754618
Making Moves 2 - 5 Items Auto renew,4411618820154
Namaste & Slay - 2 Items,2496309723194
Namaste & Slay - 2 Items  Auto renew,2496309723194
Namaste & Slay - 3 Items,2494106861626
Namaste & Slay - 3 Items  Auto renew,2494106861626
Namaste & Slay - 5 Items,2494107156538
Namaste & Slay - 5 Items  Auto renew,2494107156538
Off The Track - 3 Items,2405032362042
Out Of The Blue - 3 Items,4385218953274
Paradise Cove - 3 Items,4366058782778
Paradise Cove - 5 Items,4366059143226
Power of Pink - 3 Items,2514826788922
Power of Pink - 5 Items,2514827083834
Print Paradise - 3 Items,1446651330618
Queen Vibes - 2 Items,4399738388538
Queen Vibes - 2 Items Auto renew,4399738388538
Queen Vibes - 3 Items,4399738585146
Queen Vibes - 3 Items Auto renew,4399738585146
Queen Vibes - 5 Items,4399738912826
Queen Vibes - 5 Items Auto renew,4399738912826
Ready Set Go - 3 Items,4385207582778
Ready Set Go - 5 Items,4385217249338
Second Skin - 3 Items,2525983998010
Show Your Stripes - 2 Items,4320727367738
Show Your Stripes - 3 Items,4320729464890
Show Your Stripes - 3 Items  Auto renew,4320729464890
Show Your Stripes - 5 Items,4320730775610
Show Your Stripes - 5 Items  Auto renew,4320730775610
Supernova - 3 Items,4382368890938
Supernova - 3 Items Auto renew,4382368890938
Supernova - 5 Items,4382369349690
Ultraviolet - 3 Items,2514833440826
Under The Radar - 2 Items,4398464499770
Under The Radar - 2 Items Auto renew,4398464499770
Under The Radar - 3 Items,4398464565306
Under The Radar - 3 Items Auto renew,4398464565306
Under The Radar - 5 Items,4399643066426
Under The Radar - 5 Items Auto renew,4399643066426
Victory Lap - 3 Items,2372782751802
Wave Runner - 2 Items,4399737405498
Wave Runner - 2 Items Auto renew,4399737405498
Wave Runner - 3 Items,4399737798714
Wave Runner - 3 Items Auto renew,4399737798714
Wave Runner - 5 Items,4399737995322
Wave Runner - 5 Items Auto renew,4399737995322
Wild Heart - 3 Items,2494104535098
Winter Rose - 3 Items,4320726581306
