product_title,shopify_product_id
Back To Basics - 5 Items,4408142102586
Berry Crush - 5 Items,4366057963578
Bootcamp Beauty - 5 Items,4495534522426
Bootcamp Beauty - 5 Items Auto renew,4495534522426
Bright Idea - 5 Items,4494810087482
Bright Idea - 5 Items Auto renew,4494810087482
Cloud Nine - 5 Items,4466296094778
Cloud Nine - 5 Items Auto renew,4466296094778
Coastal Cool - 5 Items,4465964286010
Ellie Picks - 5 Items,4399742910522
Ellie Picks - 5 Items Auto renew,4399742910522
Emerald Tide - 5 Items,4466306973754
Hibiscus Love - 5 Items,4494808219706
Hillside Hike - 5 Items,4494817034298
Hillside Hike - 5 Items Auto renew,4494817034298
Laguna Getaway - 5 Items,4495556706362
Laguna Getaway - 5 Items Auto renew,4495556706362
Making Moves - 5 Items,4398463877178
Matcha Cha Cha - 5 Items,4408153047098
Mineral Love - 5 Items,4465961369658
Moonlight Rose - 5 Items,4495548743738
Off The Grid - 5 Items,4465974837306
One More Mile - 5 Items,4495531376698
Ooh La Lavender - 5 Items,4494812184634
Ooh La Lavender - 5 Items Auto renew,4494812184634
Peach Sorbet - 5 Items,4494815330362
Peach Sorbet - 5 Items Auto renew,4494815330362
Pinky Swear - 5 Items,4429080035386
Renewal - 5 Items,4494774370362
Renewal - 5 Items Auto renew,4494774370362
Serve It Up - 5 Items,4494806712378
Steel the Show - 5 Items,2267625160762
Summer Sunset - 5 Items,4489685401658
Summer Sunset - 5 Items Auto renew,4489685401658
Twilight - 5 Items,4494784757818
Twilight - 5 Items Auto renew,4494784757818
Wild Instinct - 5 Items,4494788886586
Wild Instinct - 5 Items Auto renew,4494788886586
Wind Breaker - 5 Items,4466302419002
