count,product_title,shopify_product_id
11,Balanced Beige - 2 Items,4573583736890
195,Balanced Beige - 3 Items,4573584588858
1,Balanced Beige - 3 Items Auto renew,4573584588858
30,Balanced Beige - 5 Items,4573589995578
4,Balanced Beige - 5 Items Auto renew,4573589995578
1,Beach Bash - 3 Items,2457951502394
13,Ellie Picks - 2 Items,4399742615610
236,Ellie Picks - 3 Items,4399742746682
42,Ellie Picks - 5 Items,4399742910522
1,Free Fall - 2 Items,4541679042618
7,Free Fall - 3 Items,4541679108154
1,Free Fall - 5 Items,4541679599674
1,Full Bloom - 2 Items,4557441007674
27,Full Bloom - 3 Items,4557441073210
1,Full Bloom - 5 Items,4557442252858
13,Glamazon - 2 Items,4574062739514
1,Glamazon - 2 Items Auto renew,4574062739514
189,Glamazon - 3 Items,4574063263802
4,Glamazon - 3 Items Auto renew,4574063263802
19,Glamazon - 5 Items,4574064017466
18,Gold Rush - 2 Items,4574077812794
12,Gold Rush - 3 Items,4574078500922
5,Gold Rush - 5 Items,4574080368698
2,Guiding Light - 2 Items,4555742183482
31,Guiding Light - 3 Items,4555742609466
3,Guiding Light - 5 Items,4555743821882
5,Heart Felt - 3 Items,4541684744250
1,Heart Felt - 5 Items,4541685858362
1,Namaste In - 2 Items,4557439467578
22,Namaste In - 3 Items,4557439860794
5,Namaste In - 5 Items,4557440254010
15,Nightfall - 3 Items,4519392870458
1,Nightfall - 5 Items,4519394148410
2,Olive Grove - 2 Items,4519443202106
13,Olive Grove - 3 Items,4519443431482
1,Positively Pink - 2 Items,4556891684922
10,Positively Pink - 3 Items,4556893585466
2,Positively Pink - 5 Items,4556894175290
7,Purple Haze - 2 Items,4574052548666
221,Purple Haze - 3 Items,4574053400634
1,Purple Haze - 3 Items Auto renew,4574053400634
36,Purple Haze - 5 Items,4574054285370
20,Show Your Stripes - 3 Items,4320729464890
1,Show Your Stripes - 3 Items  Auto renew,4320729464890
4,Show Your Stripes - 5 Items,4320730775610
1,Wild Instinct - 2 Items,4494787018810
5,Wild Instinct - 3 Items,4494787805242
1,Wine Down - 2 Items Auto renew,4574082629690
29,Wine Down - 3 Items,4574083186746
1,Wine Down - 3 Items Auto renew,4574083186746
3,Wine Down - 5 Items,4574084071482
