product_title,shopify_product_id
Simple Life - 3 Items,2457952026682
First Chakra - 5 Items  Auto renew,2494100176954
Soul Purpose - 3 Items  Auto renew,2525985439802
Adventure Time - 2 Items,2503573962810
Sangria Splash - 3 Items,2457952845882
Soul Purpose - 5 Items  Auto renew,2525987668026
Power of Pink - 5 Items,2514827083834
Ultraviolet - 2 Items,2514832261178
Boss Babe - 3 Items,2525980524602
Adventure Time - 3 Items,2477581697082
Velvet Crush - 3 Items  Auto renew,2525970530362
Soul Purpose - 5 Items,2525987668026
English Fog - 5 Items,2514830852154
Wild Heart - 3 Items,2494104535098
Wild Heart - The September Collection (2019),2494104535098
Rise & Shine - 3 Items,2477579173946
Canyon Sunset - 5 Items,2525983178810
Ultraviolet - 5 Items,2514833866810
First Chakra - 3 Items  Auto renew,2494099554362
English Fog - 2 Items  Auto renew,2514830327866
Second Skin - 3 Items  Auto renew,2525983998010
Spring Blossom - 3 Items,2338694234170
Balanced Body - 3 Items,2525988519994
English Fog - 3 Items,2514830491706
Golden Hour - 3 Items,2494101356602
Wild Heart - 2 Items,2496309329978
Balanced Body - 5 Items,2525989175354
Tough Luxe - 3 Items,1719724507194
Velvet Crush - 2 Items,2525970399290
Velvet Crush - 5 Items,2525978525754
Boss Babe - 2 Items,2525979639866
Golden Hour - 5 Items,2494101553210
Adventure Time - 5 Items,2477581795386
Ultraviolet - 3 Items  Auto renew,2514833440826
Second Skin - 2 Items,2525983866938
First Chakra - 3 Items,2494099554362
Weekend Getaway - 5 Items,2477583401018
English Fog - 2 Items,2514830327866
Wildflower - 3 Items,2477581959226
Boss Babe - 5 Items  Auto renew,2525981343802
Canyon Sunset - 2 Items  Auto renew,2525982425146
Velvet Crush - 5 Items  Auto renew,2525978525754
Desert Bloom - 3 Items,2372780752954
Fierce & Floral - 3 Items,2227262881850
First Chakra - 2 Items  Auto renew,2496307560506
Sangria Splash - 2 Items,2503579500602
Steel the Show - 3 Items,2267622539322
Velvet Crush - 3 Items,2525970530362
Canyon Sunset - 2 Items,2525982425146
Second Skin - 5 Items  Auto renew,2525984456762
Second Skin - 5 Items,2525984456762
3 Months - 3 Items  Auto renew,2209786298426
English Fog - 3 Items  Auto renew,2514830491706
Sparkling Onyx - 2 Items,2514843631674
Power of Pink - The October Collection (2019),2514826788922
First Chakra - 5 Items,2494100176954
Ultraviolet - 3 Items,2514833440826
3 MONTHS,23729012754
Weekend Getaway - 3 Items,2477583237178
Boss Babe - 5 Items,2525981343802
First Chakra - 2 Items,2496307560506
Balanced Body - 2 Items,2525988323386
Good Intentions - 3 Items,2405031280698
Canyon Sunset - 3 Items  Auto renew,2525982588986
Sparkling Onyx - 3 Items,2514843762746
Power of Pink - 3 Items,2514826788922
350ml Rose Gold Bottle  Auto renew,8993522642
Balanced Body - 3 Items  Auto renew,2525988519994
Canyon Sunset - 5 Items  Auto renew,2525983178810
3 Months - 3 Items (ships every 1 Months),2209786298426
Soul Purpose - 3 Items,2525985439802
3 Months - 5 Items,2209789771834
Beach Bash - 3 Items,2457951502394
Velvet Crush - 2 Items  Auto renew,2525970399290
Sangria Splash - 5 Items,2457953173562
Rise & Shine - 5 Items,2477579599930
Boss Babe - 3 Items  Auto renew,2525980524602
Soul Purpose - 2 Items,2525985210426
Second Skin - 3 Items,2525983998010
Canyon Sunset - 3 Items,2525982588986
3 Months - 2 Items,2506238492730
Adventure Time - 3 Items  Auto renew,2477581697082
Soul Purpose - 2 Items  Auto renew,2525985210426
Wild Heart - 5 Items,2494104698938
3 Months - 3 Items,2209786298426
