count,product_title,shopify_product_id
2,A New Gray - 3 Items,4519378059322
1,Adventure Time - 3 Items,2477581697082
2,Balanced Beige - 2 Items,4573583736890
40,Balanced Beige - 3 Items,4573584588858
1,Balanced Beige - 3 Items Auto renew,4573584588858
1,Balanced Beige - 5 Items,4573589995578
1,Bayou Babe - 5 Items,4557460406330
1,Calypso - 3 Items,4429051559994
1,Canyon Sunset - 3 Items,2525982588986
16,Coral Kissed - 2 Items,4620659195962
285,Coral Kissed - 3 Items,4620659523642
3,Coral Kissed - 3 Items Auto renew,4620659523642
55,Coral Kissed - 5 Items,4620659851322
6,Daily Mantra - 2 Items,4620666339386
1,Daily Mantra - 2 Items Auto renew,4620666339386
138,Daily Mantra - 3 Items,4620666634298
1,Daily Mantra - 3 Items Auto renew,4620666634298
23,Daily Mantra - 5 Items,4620667420730
2,Elemental - 2 Items,4601245335610
40,Elemental - 3 Items,4601245925434
4,Elemental - 5 Items,4601247039546
2,Ellie Picks - 2 Items,4399742615610
73,Ellie Picks - 3 Items,4399742746682
5,Ellie Picks - 5 Items,4399742910522
1,Emerald Tide - 5 Items,4466306973754
7,Force Of Nature - 2 Items,4522156752954
80,Force Of Nature - 3 Items,4522157015098
4,Force Of Nature - 3 Items Auto renew,4522157015098
19,Force Of Nature - 5 Items,4522158096442
1,Full Bloom - 3 Items,4557441073210
6,Funfetti - 2 Items,4620660801594
1,Funfetti - 2 Items Auto renew,4620660801594
386,Funfetti - 3 Items,4620660965434
1,Funfetti - 3 Items (Ships every 1 Months) (ships every 1 month) (Ships every 1 month),4620660965434
58,Funfetti - 5 Items,4620661555258
1,Glamazon - 3 Items,4574063263802
21,Grayscale - 2 Items,4620670009402
359,Grayscale - 3 Items,4620670402618
2,Grayscale - 3 Items Auto renew,4620670402618
37,Grayscale - 5 Items,4620682952762
1,Grayscale - 5 Items Auto renew,4620682952762
6,Guiding Light - 2 Items,4555742183482
17,Guiding Light - 3 Items,4555742609466
5,Guiding Light - 5 Items,4555743821882
1,Heart Felt - 2 Items,4541684613178
16,Heart Felt - 3 Items,4541684744250
2,Heart Felt - 5 Items,4541685858362
11,Island Splash - 2 Items,4620664504378
294,Island Splash - 3 Items,4620664733754
1,Island Splash - 3 Items Auto renew,4620664733754
43,Island Splash - 5 Items,4620665782330
1,Island Splash - 5 Items Auto renew,4620665782330
21,Island Sunrise - 2 Items,4620663193658
248,Island Sunrise - 3 Items,4620663455802
2,Island Sunrise - 3 Items Auto renew,4620663455802
56,Island Sunrise - 5 Items,4620663980090
1,Malibu Moment - 3 Items,4601261981754
1,Malibu Moment - 5 Items,4601266241594
1,Mauve Noir - The December Collection (2020),4601259884602
3,Midnight Sky - 2 Items,4601240518714
69,Midnight Sky - 3 Items,4601240649786
16,Midnight Sky - 5 Items,4601242091578
1,Midnight Sky - 5 Items Auto renew,4601242091578
1,Off The Track - 3 Items,2405032362042
18,On The Run - 2 Items,4620652576826
346,On The Run - 3 Items,4620652773434
58,On The Run - 5 Items,4620653887546
1,On The Run - 5 Items Auto renew,4620653887546
2,Polar Perfection - 2 Items,4601237143610
48,Polar Perfection - 3 Items,4601237667898
1,Polar Perfection - 3 Items Auto renew,4601237667898
6,Polar Perfection - 5 Items,4601238028346
4,Posies In Paris - 2 Items,4601252020282
74,Posies In Paris - 3 Items,4601253134394
2,Posies In Paris - 3 Items Auto renew,4601253134394
11,Posies In Paris - 5 Items,4601254576186
1,Posies In Paris - 5 Items Auto renew,4601254576186
1,Positively Pink - 2 Items,4556891684922
22,Positively Pink - 3 Items,4556893585466
7,Positively Pink - 5 Items,4556894175290
3,Purple Haze - 2 Items,4574052548666
61,Purple Haze - 3 Items,4574053400634
11,Purple Haze - 5 Items,4574054285370
1,Purple Haze - 5 Items Auto renew,4574054285370
1,Velvet Crush - 3 Items,2525970530362
1,What A Gem - 5 Items,4557459488826
2,Winter Bloom - 2 Items,4601238618170
42,Winter Bloom - 3 Items,4601239044154
14,Winter Bloom - 5 Items,4601239699514
