product_title,shopify_product_id
Adventure Time - 3 Items,2477581697082
Balanced Body - 5 Items,2525989175354
Boss Babe - 2 Items,2525979639866
Boss Babe - 3 Items,2525980524602
Boss Babe - 3 Items  Auto renew,2525980524602
Boss Babe - 5 Items,2525981343802
Boss Babe - 5 Items  Auto renew,2525981343802
Brooklyn - 3 Items,2339789013050
Canyon Sunset - 3 Items,2525982588986
Catch Up - 3 Items,2405033246778
Comfort Zone - 2 Items,4320734412858
Comfort Zone - 2 Items  Auto renew,4320734412858
Comfort Zone - 3 Items,4320734609466
Comfort Zone - 3 Items  Auto renew,4320734609466
Comfort Zone - 5 Items,4320734904378
Comfort Zone - 5 Items  Auto renew,4320734904378
English Fog - 2 Items,2514830327866
English Fog - 2 Items  Auto renew,2514830327866
English Fog - 3 Items,2514830491706
English Fog - 3 Items  Auto renew,2514830491706
English Fog - 5 Items,2514830852154
English Fog - 5 Items  Auto renew,2514830852154
First Chakra - 3 Items,2494099554362
Floral Bliss - 2 Items,4320724910138
Floral Bliss - 2 Items  Auto renew,4320724910138
Floral Bliss - 3 Items,4320725106746
Floral Bliss - 3 Items  Auto renew,4320725106746
Floral Bliss - 5 Items,4320726024250
Floral Bliss - 5 Items  Auto renew,4320726024250
Gear Up - 2 Items,4320731365434
Gear Up - 2 Items  Auto renew,4320731365434
Gear Up - 3 Items,4320731660346
Gear Up - 3 Items  Auto renew,4320731660346
Gear Up - 5 Items,4320732905530
Gear Up - 5 Items  Auto renew,4320732905530
Golden Hour - 2 Items,2496308281402
Golden Hour - 2 Items  Auto renew,2496308281402
Golden Hour - 3 Items,2494101356602
Golden Hour - 3 Items  Auto renew,2494101356602
Golden Hour - 5 Items,2494101553210
Good Karma - 2 Items,4320736772154
Good Karma - 3 Items,4320757153850
Good Karma - 3 Items  Auto renew,4320757153850
Good Karma - 5 Items,4320757973050
Good Karma - 5 Items  Auto renew,4320757973050
Lowkey Luxe - 3 Items,2494103453754
Lowkey Luxe - 3 Items  Auto renew,2494103453754
Lowkey Luxe - 5 Items,2494103683130
Power of Pink - 2 Items,2514826625082
Power of Pink - 3 Items,2514826788922
Power of Pink - 5 Items,2514827083834
Rise & Shine - 3 Items,2477579173946
Ruby Sheen - 2 Items,4320735232058
Ruby Sheen - 3 Items,4320735559738
Ruby Sheen - 3 Items  Auto renew,4320735559738
Ruby Sheen - 5 Items,4320735985722
Ruby Sheen - 5 Items  Auto renew,4320735985722
Sangria Splash - 3 Items,2457952845882
Second Skin - 2 Items,2525983866938
Second Skin - 3 Items,2525983998010
Second Skin - 3 Items  Auto renew,2525983998010
Second Skin - 5 Items,2525984456762
Second Skin - 5 Items  Auto renew,2525984456762
Show Your Stripes - 2 Items,4320727367738
Show Your Stripes - 3 Items,4320729464890
Show Your Stripes - 3 Items  Auto renew,4320729464890
Show Your Stripes - 5 Items,4320730775610
Show Your Stripes - 5 Items  Auto renew,4320730775610
Steel the Show - 3 Items,2267622539322
Ultraviolet - 2 Items,2514832261178
Ultraviolet - 3 Items,2514833440826
Ultraviolet - 3 Items  Auto renew,2514833440826
Ultraviolet - 5 Items,2514833866810
Velvet Crush - 2 Items,2525970399290
Velvet Crush - 3 Items,2525970530362
Velvet Crush - 3 Items  Auto renew,2525970530362
Velvet Crush - 5 Items,2525978525754
Velvet Crush - 5 Items  Auto renew,2525978525754
Wild Heart - 3 Items,2494104535098
Wild Heart - 5 Items,2494104698938
Wild Heart - The September Collection (2019),2494104535098
Winter Rose - 2 Items,4320726253626
Winter Rose - 2 Items  Auto renew,4320726253626
Winter Rose - 3 Items,4320726581306
Winter Rose - 3 Items  Auto renew,4320726581306
Winter Rose - 5 Items,4320727072826
