count,product_title,shopify_product_id
14,Back To Basics - 2 Items,4408141545530
195,Back To Basics - 3 Items,4408141643834
56,Back To Basics - 5 Items,4408142102586
1,Back To Basics - 5 Items Auto renew,4408142102586
48,Blue Skies - 3 Items,4398408073274
1,Blue Skies - 3 Items Auto renew,4398408073274
6,Blue Skies - 5 Items,4398409089082
10,Calypso - 3 Items,4429051559994
1,Calypso - 5 Items,4429052051514
1,Citrus Kick - 5 Items,4428803113018
2,City Limits - 3 Items,4366061174842
1,Cloud Nine - 2 Item One Time Purchase Auto renew,4490562502714
23,Cloud Nine - 2 Items,4466295210042
325,Cloud Nine - 3 Items,4466295406650
2,Cloud Nine - 3 Items Auto renew,4466295406650
71,Cloud Nine - 5 Items,4466296094778
14,Coastal Cool - 2 Items,4465961861178
1,Coastal Cool - 2 Items Auto renew,4465961861178
397,Coastal Cool - 3 Items,4465962647610
2,Coastal Cool - 3 Items Auto renew,4465962647610
55,Coastal Cool - 5 Items,4465964286010
2,Cupids Kiss - 3 Items,4382378229818
1,Cupids Kiss - 5 Items,4382378360890
10,Dream On - 3 Items,4408153833530
1,Dream On - 5 Items,4408154161210
70,Ellie Picks - 2 Items,4399742615610
230,Ellie Picks - 3 Items,4399742746682
1,Ellie Picks - 3 Items Auto renew,4399742746682
42,Ellie Picks - 5 Items,4399742910522
1,Emerald Tide - 2 Items,4466306121786
1,Emerald Tide - 2 Items Auto renew,4466306121786
349,Emerald Tide - 3 Items,4466306613306
56,Emerald Tide - 5 Items,4466306973754
1,Floral Bliss - 3 Items,4320725106746
6,Fresh Tone - 2 Items,4465955569722
2,Fresh Tone - 2 Items Auto renew,4465955569722
449,Fresh Tone - 3 Items,4465956257850
7,Fresh Tone - 3 Items Auto renew,4465956257850
54,Fresh Tone - 5 Items,4465957109818
3,Fresh Tone - 5 Items Auto renew,4465957109818
1,Kaleidoscope - 3 Items,4408154718266
3,Making Moves - 2 Items,4398463418426
171,Making Moves - 3 Items,4398463516730
1,Making Moves - 3 Items Auto renew,4398463516730
48,Making Moves - 5 Items,4398463877178
2,Matcha Cha Cha - 3 Items,4408142463034
7,Mineral Love - 2 Items,4465957797946
2,Mineral Love - 2 Items Auto renew,4465957797946
283,Mineral Love - 3 Items,4465958387770
1,Mineral Love - 3 Items Auto renew,4465958387770
32,Mineral Love - 5 Items,4465961369658
3,Mineral Love - 5 Items Auto renew,4465961369658
42,Off The Grid - 2 Items,4465968578618
2,Off The Grid - 2 Items Auto renew,4465968578618
961,Off The Grid - 3 Items,4465970839610
10,Off The Grid - 3 Items Auto renew,4465970839610
115,Off The Grid - 5 Items,4465974837306
1,Off The Grid - 5 Items Auto renew,4465974837306
5,Pacific Mist - 3 Items,4427336384570
2,Papaya Summer - 2 Items,4466290032698
252,Papaya Summer - 3 Items,4466290720826
2,Papaya Summer - 3 Items Auto renew,4466290720826
42,Papaya Summer - 5 Items,4466293407802
1,Paradise Cove - 3 Items,4366058913850
2,Paradise Cove - 3 Items,4366058782778
7,Peachy Keen - 2 Items,4466303500346
281,Peachy Keen - 3 Items,4466303762490
3,Peachy Keen - 3 Items Auto renew,4466303762490
44,Peachy Keen - 5 Items,4466305335354
1,Roll The Dye - 2 Items,4466297176122
529,Roll The Dye - 3 Items,4466297929786
1,Roll The Dye - 3 Items Auto renew,4466297929786
76,Roll The Dye - 5 Items,4466299371578
3,Roll The Dye - 5 Items Auto renew,4466299371578
4,Show Your Stripes - 2 Items,4320727367738
137,Show Your Stripes - 3 Items,4320729464890
33,Show Your Stripes - 5 Items,4320730775610
2,Spring Into Action - 3 Items,4438604349498
1,Street Smarts - 3 Items,2154512613434
2,Tie Game - 3 Items,4429126860858
1,Tie Game - The May Collection (2020),4429126860858
1,Under The Radar - 3 Items,4398464565306
1,Under The Radar - 5 Items,4399643066426
1,Victory Lap - 3 Items,2372782751802
1,Wind Breaker - 2 Items,4466299830330
1,Wind Breaker - 2 Items Auto renew,4466299830330
293,Wind Breaker - 3 Items,4466300452922
1,Wind Breaker - 3 Items Auto renew,4466300452922
40,Wind Breaker - 5 Items,4466302419002
1,Wrap Me Up - 3 Items,2076469657658
