product_title,shopify_product_id
Bahama Babe - 2 Items,4399644442682
Bahama Babe - 3 Items,4399644639290
Bahama Babe - 5 Items,4399644934202
Berry Crush - 2 Items,4366057209914
Berry Crush - 3 Items,4366057406522
Berry Crush - 5 Items,4366057963578
Berry Crush - 5 Items  Auto renew,4366057963578
Blue Skies - 2 Items,4398406959162
Blue Skies - 3 Items,4398408073274
Blue Skies - 5 Items,4398409089082
Calypso - 2 Items,4429044121658
Calypso - 3 Items,4429051559994
Calypso - 5 Items,4429052051514
Citrus Kick - 2 Items,4428799148090
Citrus Kick - 3 Items,4428800327738
Citrus Kick - 5 Items,4428803113018
City Limits - 2 Items,4366060453946
City Limits - 3 Items,4366061174842
City Limits - 5 Items,4366066024506
Cupids Kiss - 2 Items,4382377443386
Cupids Kiss - The March Collection (2020),4382378229818
Dream On - 3 Items,4408153833530
Ellie Picks - 3 Items,4399742746682
Ellie Picks - 5 Items,4399742910522
Floral Bliss - 3 Items,4320725106746
Golden Girl - 2 Items,4438599565370
Golden Girl - 3 Items,4438600876090
Golden Girl - 5 Items,4438603169850
Kaleidoscope - 2 Items,4408154587194
Kaleidoscope - 3 Items,4408154718266
Matcha Cha Cha - 2 Items,4408142331962
Matcha Cha Cha - 3 Items,4408142463034
Matcha Cha Cha - 3 Items Auto renew,4408142463034
Matcha Cha Cha - 5 Items,4408153047098
Natural Fit - 2 Items,4428897943610
Natural Fit - 3 Items,4428899516474
Natural Fit - 5 Items,4428900532282
Pacific Mist - 2 Items,4427335696442
Pacific Mist - 3 Items,4427336384570
Pacific Mist - 5 Items,4427336777786
Paradise Cove - 2 Items,4366058225722
Paradise Cove - 3 Items,4366058782778
Paradise Cove - 5 Items,4366059143226
Pinky Swear - 2 Items,4429078659130
Pinky Swear - 3 Items,4429079576634
Pinky Swear - 5 Items,4429080035386
Pinky Swear - 5 Items Auto renew,4429080035386
Spring Into Action - 2 Items,4438603726906
Spring Into Action - 3 Items,4438604349498
Spring Into Action - 5 Items,4438605267002
Supernova - 2 Items,4382368825402
Tie Game - 2 Items,4429126041658
Tie Game - 3 Items,4429126860858
Tie Game - 5 Items,4429130137658
Under The Radar - 3 Items,4398464565306
