count,product_title,shopify_product_id,
4,Flower Bud - 3 Items,2267632697402,
2,Wrap Me Up - 3 Items,2076469657658,
4,Chill Mode - 3 Items,2267626373178,
1,Wine & Roses - 3 Items,2076495052858,
477,First Impression - 5 ITEMS,2294130999354,
44,First Impression - 3 ITEMS  Auto renew,2294128738362,
599,Color Theory - 3 Items,2076342452282,
4,Flower Bud - 5 Items,2267637678138,
18,True Blue - 5 Items,2226391941178,
1,350ml Rose Gold Bottle  Auto renew,8993522642,
234,To the Limit - 5 ITEMS,2294135029818,
3,Color Theory - 5 Item  Auto renew,2076357886010,
2593,First Impression - 3 ITEMS,2294128738362,
1,Street Smarts - 3 Items,2154512613434,
20,Street Smarts 2 - 5 items,2188532875322,
1,One Zip Waist Pack,197323522066,
42,Mauve Muse - 3 ITEMS  Auto renew,2294123954234,
11,Wine & Roses - The February Collection (2019),2076495052858,
7,The Jet Set - The February Collection (2019),2267638857786,
1,Color Theory - The November Collection (2018),2076342452282,
161,Starstruck - 5 ITEMS,2294132539450,
2166,Starstruck - 3 ITEMS,2294131458106,
6,Mauve Muse - 5 ITEMS  Auto renew,2294127558714,
3487,Mauve Muse - 3 ITEMS,2294123954234,
73,Starstruck - 3 ITEMS  Auto renew,2294131458106,
3,Steel the Show - 5 Items,2267625160762,
88,Street Smarts 2 - 3 Items,2188530778170,
173,True Blue - 3 Items,2226409963578,
14,Street Smarts - 5 items,2188532875322,
129,3 Months - 3 Items,2209786298426,
7,Street Smarts 2 - 3 Items  Auto renew,2188530778170,
1,Morning Mantra - 3 Items  Auto renew,2267641151546,
1,Vinyasa Vibes - 5 Items,1828550213690,
1,May Flowers - 3 Items,207131443218,
25,3 Months - 5 Items,2209789771834,
9,Steel the Show - 3 Items,2267622539322,
1,3 MONTHS,9175678162,
3,Fierce & Floral - 3 Items,2227262881850,
13,Color Theory - 3 Item,2076342452282,
1,Chill Mode - 3 Items,2267630239802,
133,Color Theory - 5 Items,2076357886010,
1129,Mauve Muse - 5 ITEMS,2294127558714,
43,To the Limit - 3 ITEMS  Auto renew,2294132932666,
55,3 MONTHS,23729012754,
1,Wrap Me Up - 5 Items,2076477653050,
5,First Impression - 5 ITEMS  Auto renew,2294130999354,
114,Street Smarts - 3 Items,2188530778170,
1,3 Months - 5 Items  Auto renew,2209789771834,
1,Meet Your Match - 3 Items,1719732535354,
23,Color Theory - 3 Item  Auto renew,2076342452282,
4,To the Limit - 5 ITEMS  Auto renew,2294135029818,
2,Morning Mantra - 3 Items,2267641151546,
1,The Jet Set - 3 Items,2267638857786,
1,Morning Mantra - 5 Items,2267641872442,
1,Chill Mode - 5 Items,2227259342906,
21,Starstruck - 5 ITEMS  Auto renew,2294132539450,
864,To the Limit - 3 ITEMS,2294132932666,
