product_title,shopify_product_id,prod_type
Adventure Time - 5 Items,2477581795386,5
Back To Basics - 3 Items,4408141643834,3
Back To Basics - 3 Items Auto renew,4408141643834,3
Back To Basics - 5 Items,4408142102586,5
Back To Basics - 5 Items Auto renew,4408142102586,5
Bahama Babe - 3 Items,4399644639290,3
Bahama Babe - 3 Items Auto renew,4399644639290,3
Bahama Babe - 5 Items,4399644934202,5
Bayside Breeze - 3 Items,4382371840058,3
Berry Crush - 3 Items,4366057406522,3
Berry Crush - 3 Items  Auto renew,4366057406522,3
Berry Crush - 5 Items,4366057963578,5
Blue Skies - 3 Items,4398408073274,3
Blue Skies - 3 Items Auto renew,4398408073274,3
Blue Skies - 5 Items,4398409089082,5
Boss Babe - 3 Items,2525980524602,3
City Limits - 3 Items,4366061174842,3
City Limits - 3 Items  Auto renew,4366061174842,3
City Limits - 5 Items,4366066024506,5
City Limits - 5 Items  Auto renew,4366066024506,5
City Limits - The January Collection (2020),4366061174842,3
Clean Slate - 3 Items,4373264957498,3
Clean Slate - 5 Items,4373306998842,5
Cupids Kiss - 3 Items,4382378229818,3
Cupids Kiss - 3 Items Auto renew,4382378229818,3
Cupids Kiss - 5 Items,4382378360890,5
Cupids Kiss - 5 Items Auto renew,4382378360890,5
Dream On - 3 Items,4408153833530,3
Dream On - 3 Items Auto renew,4408153833530,3
Dream On - 5 Items,4408154161210,5
Dream On - 5 Items Auto renew,4408154161210,5
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 3 Items Auto renew,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Ellie Picks - 5 Items Auto renew,4399742910522,5
Fierce & Floral - 5 Items,2227259342906,5
Floral Bliss - 3 Items,4320725106746,3
Floral Bliss - 3 Items  Auto renew,4320725106746,3
Floral Bliss - 5 Items,4320726024250,5
Floral Bliss - 5 Items  Auto renew,4320726024250,5
Flower Bud - 3 Items,2267632697402,3
Gear Up - 5 Items  Auto renew,4320732905530,5
Glow Getter - 3 Items,4408155701306,3
Glow Getter - 3 Items Auto renew,4408155701306,3
Glow Getter - 5 Items,4408176607290,5
Glow Getter - 5 Items Auto renew,4408176607290,5
Hidden Gem - 3 Items,4382369906746,3
Kaleidoscope - 3 Items,4408154718266,3
Kaleidoscope - 3 Items Auto renew,4408154718266,3
Kaleidoscope - 5 Items,4408154980410,5
Kaleidoscope - 5 Items Auto renew,4408154980410,5
Knockout - 3 Items,4382379475002,3
Making Moves - 3 Items,4398463516730,3
Making Moves - 5 Items,4398463877178,5
Matcha Cha Cha - 3 Items,4408142463034,3
Matcha Cha Cha - 3 Items Auto renew,4408142463034,3
Matcha Cha Cha - 5 Items,4408153047098,5
Matcha Cha Cha - 5 Items Auto renew,4408153047098,5
Namaste & Slay - 5 Items,2494107156538,5
Out Of The Blue - 3 Items,4385218953274,3
Prism Perfect - 3 Items  Auto renew,2339796320314,3
Queen Vibes - 3 Items,4399738585146,3
Queen Vibes - 3 Items Auto renew,4399738585146,3
Rise Up - 5 Items,2372785438778,5
Rose Quartz - 5 Items,2372787535930,5
Ruby Sheen - 3 Items,4320735559738,3
Supernova - 3 Items,4382368890938,3
Supernova - 3 Items Auto renew,4382368890938,3
Supernova - 5 Items,4382369349690,5
True Blue - 3 Items,2226409963578,3
Under The Radar - 3 Items,4398464565306,3
Under The Radar - 3 Items Auto renew,4398464565306,3
Under The Radar - 5 Items,4399643066426,5
Under The Radar - 5 Items Auto renew,4399643066426,5
Victory Lap - 3 Items,2372782751802,3
Violet Rhapsody - 3 Items,4408177164346,3
Violet Rhapsody - 3 Items Auto renew,4408177164346,3
Violet Rhapsody - 5 Items,4408177918010,5
Violet Rhapsody - 5 Items Auto renew,4408177918010,5
Wave Runner - 3 Items,4399737798714,3
Wave Runner - 5 Items,4399737995322,5
