product_title,shopify_product_id,prod_type
Azure Dreams - 2 Items,4656647897146,2
Azure Dreams - 3 Items,4656649044026,3
Azure Dreams - 3 Items Auto renew,4656649044026,3
Azure Dreams - 5 Items,4656650682426,5
Berry Crush - 3 Items,4366057406522,3
Core Strength - 2 Items,4656680140858,2
Core Strength - 3 Items,4656680599610,3
Core Strength - 5 Items,4656682238010,5
Core Strength - 5 Items Auto renew,4656682238010,5
Desert Sage - 3 Item,197985992722,3
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 3 Items Auto renew,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Funfetti - 3 Items,4620660965434,3
Guiding Light - 3 Items,4555742609466,3
Head In The Clouds - 2 Items,4656651665466,2
Head In The Clouds - 2 Items Auto renew,4656651665466,2
Head In The Clouds - 3 Items,4656652386362,3
Head In The Clouds - 3 Items Auto renew,4656652386362,3
Head In The Clouds - 5 Items,4656671031354,5
Head In The Clouds - 5 Items Auto renew,4656671031354,5
Iridescent Dreams - 3 Items,4637681647674,3
Iridescent Dreams - 5 Items,4637692788794,5
Island Splash - 2 Items,4620664504378,2
Island Splash - 3 Items,4620664733754,3
Island Splash - 3 Items Auto renew,4620664733754,3
Island Splash - 5 Items,4620665782330,5
Island Splash - 5 Items Auto renew,4620665782330,5
Midnight Garden - 2 Items,4638111268922,2
Midnight Garden - 3 Items,4638111989818,3
Midnight Garden - 5 Items,4638113300538,5
Midnight Sky - 2 Items,4601240518714,2
Midnight Sky - 3 Items,4601240649786,3
Midnight Sky - 5 Items,4601242091578,5
On The Flipside - 2 Items,4657193910330,2
On The Flipside - 3 Items,4657194172474,3
On The Flipside - 3 Items Auto renew,4657194172474,3
On The Flipside - 5 Items,4657194893370,5
On The Run - 2 Items,4620652576826,2
On The Run - 3 Items,4620652773434,3
On The Run - 5 Items,4620653887546,5
On The Run - 5 Items Auto renew,4620653887546,5
Polar Perfection - 2 Items,4601237143610,2
Polar Perfection - 3 Items,4601237667898,3
Polar Perfection - 3 Items Auto renew,4601237667898,3
Polar Perfection - 5 Items,4601238028346,5
Posies In Paris - 3 Items,4601253134394,3
Positively Pink - 2 Items,4556891684922,2
Positively Pink - 3 Items,4556893585466,3
Positively Pink - 5 Items,4556894175290,5
Powerhouse - 2 Items,6535517175866,2
Powerhouse - 3 Items,6535624720442,3
Powerhouse - 5 Items,6535625408570,5
Precious Peak - 2 Items,4656679092282,2
Precious Peak - 2 Items Auto renew,4656679092282,2
Precious Peak - 3 Items,4656679288890,3
Precious Peak - 3 Items Auto renew,4656679288890,3
Precious Peak - 5 Items,4657190633530,5
Purple Haze - 2 Items,4574052548666,2
Purple Haze - 2 Items Auto renew,4574052548666,2
Purple Haze - 3 Items,4574053400634,3
Purple Haze - 5 Items,4574054285370,5
Rosy Outlook - 2 Items,4637700358202,2
Rosy Outlook - 3 Items,4637714186298,3
Rosy Outlook - 3 Items Auto renew,4637714186298,3
Rosy Outlook - 5 Items,4637731094586,5
Second Skin - 3 Items,2525983998010,3
Tilt The Scale - 2 Items,4637735518266,2
Tilt The Scale - 2 Items Auto renew,4637735518266,2
Tilt The Scale - 3 Items,4638087872570,3
Tilt The Scale - 3 Items Auto renew,4638087872570,3
Tilt The Scale - 5 Items,4638110941242,5
Unapologetic - 2 Items,4656672309306,2
Unapologetic - 3 Items,4656673947706,3
Unapologetic - 3 Items Auto renew,4656673947706,3
Unapologetic - 5 Items,4656676667450,5
Viper Vibe - 2 Items,4656677650490,2
Viper Vibe - 2 Items Auto renew,4656677650490,2
Viper Vibe - 3 Items,6535405928506,3
Viper Vibe - 3 Items Auto renew,6535405928506,3
Viper Vibe - 5 Items,4656678731834,5
Winter Bloom - 2 Items,4601238618170,2
Winter Bloom - 3 Items,4601239044154,3
Winter Bloom - 5 Items,4601239699514,5
