product_title,shopify_product_id,prod_type,prepaid
Back To Basics - 5 Items,4408142102586,5,f
Berry Crush - 5 Items,4366057963578,5,f
Bootcamp Beauty - 5 Items,4495534522426,5,f
Bootcamp Beauty - 5 Items Auto renew,4495534522426,5,f
Bright Idea - 5 Items,4494810087482,5,f
Bright Idea - 5 Items Auto renew,4494810087482,5,f
Cloud Nine - 5 Items,4466296094778,5,f
Cloud Nine - 5 Items Auto renew,4466296094778,5,f
Coastal Cool - 5 Items,4465964286010,5,f
Ellie Picks - 5 Items,4399742910522,5,f
Ellie Picks - 5 Items Auto renew,4399742910522,5,f
Emerald Tide - 5 Items,4466306973754,5,f
Hibiscus Love - 5 Items,4494808219706,5,f
Hillside Hike - 5 Items,4494817034298,5,f
Hillside Hike - 5 Items Auto renew,4494817034298,5,f
Laguna Getaway - 5 Items,4495556706362,5,f
Laguna Getaway - 5 Items Auto renew,4495556706362,5,f
Making Moves - 5 Items,4398463877178,5,f
Matcha Cha Cha - 5 Items,4408153047098,5,f
Mineral Love - 5 Items,4465961369658,5,f
Moonlight Rose - 5 Items,4495548743738,5,f
Off The Grid - 5 Items,4465974837306,5,f
One More Mile - 5 Items,4495531376698,5,f
Ooh La Lavender - 5 Items,4494812184634,5,f
Ooh La Lavender - 5 Items Auto renew,4494812184634,5,f
Peach Sorbet - 5 Items,4494815330362,5,f
Peach Sorbet - 5 Items Auto renew,4494815330362,5,f
Pinky Swear - 5 Items,4429080035386,5,f
Renewal - 5 Items,4494774370362,5,f
Renewal - 5 Items Auto renew,4494774370362,5,f
Serve It Up - 5 Items,4494806712378,5,f
Steel the Show - 5 Items,2267625160762,5,f
Summer Sunset - 5 Items,4489685401658,5,f
Summer Sunset - 5 Items Auto renew,4489685401658,5,f
Twilight - 5 Items,4494784757818,5,f
Twilight - 5 Items Auto renew,4494784757818,5,f
Wild Instinct - 5 Items,4494788886586,5,f
Wild Instinct - 5 Items Auto renew,4494788886586,5,f
Wind Breaker - 5 Items,4466302419002,5,f
