product_title,shopify_product_id,prod_type
Balanced Beige - 2 Items,4.57358E+12,2
Balanced Beige - 3 Items,4.57358E+12,3
Balanced Beige - 3 Items Auto renew,4.57358E+12,3
Balanced Beige - 5 Items,4.57359E+12,5
Balanced Beige - 5 Items Auto renew,4.57359E+12,5
Beach Bash - 3 Items,2.45795E+12,3
Ellie Picks - 2 Items,4.39974E+12,2
Ellie Picks - 3 Items,4.39974E+12,3
Ellie Picks - 5 Items,4.39974E+12,5
Free Fall - 2 Items,4.54168E+12,2
Free Fall - 3 Items,4.54168E+12,3
Free Fall - 5 Items,4.54168E+12,5
Full Bloom - 2 Items,4.55744E+12,2
Full Bloom - 3 Items,4.55744E+12,3
Full Bloom - 5 Items,4.55744E+12,5
Glamazon - 2 Items,4.57406E+12,2
Glamazon - 2 Items Auto renew,4.57406E+12,2
Glamazon - 3 Items,4.57406E+12,3
Glamazon - 3 Items Auto renew,4.57406E+12,3
Glamazon - 5 Items,4.57406E+12,5
Gold Rush - 2 Items,4.57408E+12,2
Gold Rush - 3 Items,4.57408E+12,3
Gold Rush - 5 Items,4.57408E+12,5
Guiding Light - 2 Items,4.55574E+12,2
Guiding Light - 3 Items,4.55574E+12,3
Guiding Light - 5 Items,4.55574E+12,5
Heart Felt - 3 Items,4.54168E+12,3
Heart Felt - 5 Items,4.54169E+12,5
Namaste In - 2 Items,4.55744E+12,2
Namaste In - 3 Items,4.55744E+12,3
Namaste In - 5 Items,4.55744E+12,5
Nightfall - 3 Items,4.51939E+12,3
Nightfall - 5 Items,4.51939E+12,5
Olive Grove - 2 Items,4.51944E+12,2
Olive Grove - 3 Items,4.51944E+12,3
Positively Pink - 2 Items,4.55689E+12,2
Positively Pink - 3 Items,4.55689E+12,3
Positively Pink - 5 Items,4.55689E+12,5
Purple Haze - 2 Items,4.57405E+12,2
Purple Haze - 3 Items,4.57405E+12,3
Purple Haze - 3 Items Auto renew,4.57405E+12,3
Purple Haze - 5 Items,4.57405E+12,5
Show Your Stripes - 3 Items,4.32073E+12,3
Show Your Stripes - 3 Items  Auto renew,4.32073E+12,3
Show Your Stripes - 5 Items,4.32073E+12,5
Wild Instinct - 2 Items,4.49479E+12,2
Wild Instinct - 3 Items,4.49479E+12,3
Wine Down - 2 Items Auto renew,4.57408E+12,2
Wine Down - 3 Items,4.57408E+12,3
Wine Down - 3 Items Auto renew,4.57408E+12,3
Wine Down - 5 Items,4.57408E+12,5
