product_title,shopify_product_id,prod_type
Adventure Time - 2 Items,2503573962810,2
Adventure Time - 3 Items,2477581697082,3
Balanced Body - 2 Items,2525988323386,2
Balanced Body - 3 Items,2525988519994,3
Balanced Body - 3 Items  Auto renew,2525988519994,3
Balanced Body - 5 Items,2525989175354,5
Boss Babe - 2 Items,2525979639866,2
Boss Babe - 3 Items,2525980524602,3
Boss Babe - 3 Items  Auto renew,2525980524602,3
Boss Babe - 5 Items,2525981343802,5
Boss Babe - 5 Items  Auto renew,2525981343802,5
Canyon Sunset - 2 Items,2525982425146,2
Canyon Sunset - 2 Items  Auto renew,2525982425146,2
Canyon Sunset - 3 Items,2525982588986,3
Canyon Sunset - 3 Items  Auto renew,2525982588986,3
Canyon Sunset - 5 Items,2525983178810,5
Canyon Sunset - 5 Items  Auto renew,2525983178810,5
English Fog - 2 Items,2514830327866,2
English Fog - 3 Items,2514830491706,3
English Fog - 5 Items,2514830852154,5
Fierce & Floral - 3 Items,2227262881850,3
First Chakra - 2 Items,2496307560506,2
First Chakra - 3 Items,2494099554362,3
First Chakra - 3 Items  Auto renew,2494099554362,3
First Chakra - 5 Items,2494100176954,5
First Chakra - 5 Items  Auto renew,2494100176954,5
Rise & Shine - 5 Items,2477579599930,5
Sangria Splash - 2 Items,2503579500602,2
Sangria Splash - 3 Items,2457952845882,3
Sangria Splash - 5 Items,2457953173562,5
Second Skin - 2 Items,2525983866938,2
Second Skin - 3 Items,2525983998010,3
Second Skin - 3 Items  Auto renew,2525983998010,3
Second Skin - 5 Items,2525984456762,5
Second Skin - 5 Items  Auto renew,2525984456762,5
Simple Life - 3 Items,2457952026682,3
Soul Purpose - 2 Items,2525985210426,2
Soul Purpose - 2 Items  Auto renew,2525985210426,2
Soul Purpose - 3 Items,2525985439802,3
Soul Purpose - 3 Items  Auto renew,2525985439802,3
Soul Purpose - 5 Items,2525987668026,5
Soul Purpose - 5 Items  Auto renew,2525987668026,5
Spring Blossom - 3 Items,2338694234170,3
Steel the Show - 3 Items,2267622539322,3
Tough Luxe - 3 Items,1719724507194,3
Ultraviolet - 2 Items,2514832261178,2
Ultraviolet - 3 Items,2514833440826,3
Ultraviolet - 5 Items,2514833866810,5
Velvet Crush - 2 Items,2525970399290,2
Velvet Crush - 2 Items  Auto renew,2525970399290,2
Velvet Crush - 3 Items,2525970530362,3
Velvet Crush - 3 Items  Auto renew,2525970530362,3
Velvet Crush - 5 Items,2525978525754,5
Velvet Crush - 5 Items  Auto renew,2525978525754,5
Weekend Getaway - 3 Items,2477583237178,3
Weekend Getaway - 5 Items,2477583401018,5
Wild Heart - 3 Items,2494104535098,3
Wild Heart - 5 Items,2494104698938,5
