product_title,shopify_product_id,prod_type
A New Gray - 2 Items,4519377961018,2
A New Gray - 3 Items,4519378059322,3
A New Gray - 5 Items,4519378387002,5
Bayou Babe - 2 Items,4557459652666,2
Bayou Babe - 3 Items,4557460045882,3
Bayou Babe - 3 Items Auto renew,4557460045882,3
Bayou Babe - 5 Items,4557460406330,5
Blush Dreams - 3 Items,4519459323962,3
Cast The Dye - 3 Items,4557457358906,3
Color Pop - 3 Items,4522218684474,3
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Free Fall - 2 Items,4541679042618,2
Free Fall - 3 Items,4541679108154,3
Free Fall - 5 Items,4541679599674,5
Full Bloom - 2 Items,4557441007674,2
Full Bloom - 3 Items,4557441073210,3
Full Bloom - 3 Items Auto renew,4557441073210,3
Full Bloom - 5 Items,4557442252858,5
Guiding Light - 2 Items,4555742183482,2
Guiding Light - 3 Items,4555742609466,3
Guiding Light - 3 Items Auto renew,4555742609466,3
Guiding Light - 5 Items,4555743821882,5
Guiding Light - 5 Items Auto renew,4555743821882,5
Heart Felt - 3 Items,4541684744250,3
Laguna Getaway - 3 Items,4495555231802,3
Lunar Flare - 2 Items,4541682417722,2
Lunar Flare - 3 Items,4541682778170,3
Lunar Flare - 3 Items Auto renew,4541682778170,3
Lunar Flare - 5 Items,4541683269690,5
Namaste In - 2 Items,4557439467578,2
Namaste In - 3 Items,4557439860794,3
Namaste In - 5 Items,4557440254010,5
Namaste In - 5 Items Auto renew,4557440254010,5
Nightfall - 2 Items,4519392837690,2
Nightfall - 3 Items,4519392870458,3
Nightfall - 3 Items Auto renew,4519392870458,3
Nightfall - 5 Items,4519394148410,5
Olive Grove - 2 Items,4519443202106,2
Olive Grove - 3 Items,4519443431482,3
Olive Grove - 5 Items,4519453163578,5
Positively Pink - 2 Items,4556891684922,2
Positively Pink - 2 Items Auto renew,4556891684922,2
Positively Pink - 3 Items,4556893585466,3
Positively Pink - 5 Items,4556894175290,5
Show Your Stripes - 3 Items,4320729464890,3
Show Your Stripes - 5 Items,4320730775610,5
Twilight - 3 Items,4494783381562,3
What A Gem - 2 Items,4557458964538,2
What A Gem - 3 Items,4557459030074,3
What A Gem - 3 Items Auto renew,4557459030074,3
What A Gem - 5 Items,4557459488826,5
Wild Instinct - 2 Items,4494787018810,2
Wild Instinct - 3 Items,4494787805242,3
Wild Instinct - 5 Items,4494788886586,5
