product_title,shopify_product_id,prod_type
Balanced Beige - 5 Items,4573589995578,5
Coral Kissed - 5 Items,4620659851322,5
Coral Kissed - 5 Items Auto renew,4620659851322,5
Daily Mantra - 5 Items,4620667420730,5
Daily Mantra - 5 Items Auto renew,4620667420730,5
Elemental - 5 Items,4601247039546,5
Elemental - 5 Items Auto renew,4601247039546,5
Ellie Picks - 5 Items,4399742910522,5
Ellie Picks - 5 Items Auto renew,4399742910522,5
Emerald Tide - 5 Items,4466306973754,5
Force Of Nature - 5 Items,4522158096442,5
Force Of Nature - 5 Items Auto renew,4522158096442,5
Funfetti - 5 Items,4620661555258,5
Funfetti - 5 Items Auto renew,4620661555258,5
Glamazon - 5 Items,4574064017466,5
Grayscale - 5 Items,4620682952762,5
Grayscale - 5 Items Auto renew,4620682952762,5
Guiding Light - 5 Items,4555743821882,5
Guiding Light - 5 Items Auto renew,4555743821882,5
Heart Felt - 5 Items,4541685858362,5
Island Splash - 5 Items,4620665782330,5
Island Splash - 5 Items Auto renew,4620665782330,5
Island Sunrise - 5 Items,4620663980090,5
Island Sunrise - 5 Items Auto renew,4620663980090,5
Lunar Flare - 5 Items,4541683269690,5
May Flowers - 5 Items,207131279378,5
Midnight Sky - 5 Items,4601242091578,5
On The Run - 5 Items,4620653887546,5
On The Run - 5 Items Auto renew,4620653887546,5
Polar Perfection - 5 Items,4601238028346,5
Polar Perfection - 5 Items Auto renew,4601238028346,5
Posies In Paris - 5 Items,4601254576186,5
Posies In Paris - 5 Items Auto renew,4601254576186,5
Positively Pink - 5 Items,4556894175290,5
Purple Haze - 5 Items,4574054285370,5
Purple Haze - 5 Items Auto renew,4574054285370,5
Urban Instinct - 5 Items,4541677895738,5
Winter Bloom - 5 Items,4601239699514,5
Winter Bloom - 5 Items Auto renew,4601239699514,5
