product_title,shopify_product_id,prod_type
A New Gray - 3 Items,4519378059322,3
Balanced Beige - 2 Items,4573583736890,2
Balanced Beige - 2 Items Auto renew,4573583736890,2
Balanced Beige - 3 Items,4573584588858,3
Coral Kissed - 2 Items,4620659195962,2
Coral Kissed - 3 Items,4620659523642,3
Coral Kissed - 5 Items,4620659851322,5
Elemental - 2 Items,4601245335610,2
Elemental - 3 Items,4601245925434,3
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Force Of Nature - 3 Items,4522157015098,3
Funfetti - 2 Items Auto renew,4620660801594,2
Funfetti - 3 Items,4620660965434,3
Funfetti - 3 Items Auto renew,4620660965434,3
Funfetti - 5 Items,4620661555258,5
Grayscale - 2 Items,4620670009402,2
Grayscale - 3 Items,4620670402618,3
Guiding Light - 2 Items,4555742183482,2
Guiding Light - 3 Items,4555742609466,3
Guiding Light - 3 Items Auto renew,4555742609466,3
Guiding Light - 5 Items,4555743821882,5
Heart Felt - 3 Items,4541684744250,3
Island Splash - 2 Items,4620664504378,2
Island Splash - 3 Items,4620664733754,3
Island Splash - 3 Items Auto renew,4620664733754,3
Island Sunrise - 2 Items,4620663193658,2
Island Sunrise - 2 Items Auto renew,4620663193658,2
Island Sunrise - 3 Items,4620663455802,3
Island Sunrise - 3 Items Auto renew,4620663455802,3
Midnight Sky - 3 Items,4601240649786,3
Midnight Sky - 3 Items Auto renew,4601240649786,3
Namaste In - 3 Items,4557439860794,3
On The Run - 2 Items,4620652576826,2
On The Run - 3 Items,4620652773434,3
On The Run - 3 Items Auto renew,4620652773434,3
Polar Perfection - 3 Items,4601237667898,3
Posies In Paris - 2 Items,4601252020282,2
Posies In Paris - 3 Items,4601253134394,3
Positively Pink - 3 Items,4556893585466,3
Purple Haze - 2 Items,4574052548666,2
Purple Haze - 2 Items Auto renew,4574052548666,2
Purple Haze - 3 Items,4574053400634,3
Winter Bloom - 2 Items,4601238618170,2
Winter Bloom - 3 Items,4601239044154,3
Winter Bloom - 3 Items Auto renew,4601239044154,3
