product_title,shopify_product_id,prod_type
Adventure Time - 3 Items,2477581697082,3
Balanced Body - 5 Items,2525989175354,5
Boss Babe - 2 Items,2525979639866,2
Boss Babe - 3 Items,2525980524602,3
Boss Babe - 3 Items  Auto renew,2525980524602,3
Boss Babe - 5 Items,2525981343802,5
Boss Babe - 5 Items  Auto renew,2525981343802,5
Brooklyn - 3 Items,2339789013050,3
Canyon Sunset - 3 Items,2525982588986,3
Catch Up - 3 Items,2405033246778,3
Comfort Zone - 2 Items,4320734412858,2
Comfort Zone - 2 Items  Auto renew,4320734412858,2
Comfort Zone - 3 Items,4320734609466,3
Comfort Zone - 3 Items  Auto renew,4320734609466,3
Comfort Zone - 5 Items,4320734904378,5
Comfort Zone - 5 Items  Auto renew,4320734904378,5
English Fog - 2 Items,2514830327866,2
English Fog - 2 Items  Auto renew,2514830327866,2
English Fog - 3 Items,2514830491706,3
English Fog - 3 Items  Auto renew,2514830491706,3
English Fog - 5 Items,2514830852154,5
English Fog - 5 Items  Auto renew,2514830852154,5
First Chakra - 3 Items,2494099554362,3
Floral Bliss - 2 Items,4320724910138,2
Floral Bliss - 2 Items  Auto renew,4320724910138,2
Floral Bliss - 3 Items,4320725106746,3
Floral Bliss - 3 Items  Auto renew,4320725106746,3
Floral Bliss - 5 Items,4320726024250,5
Floral Bliss - 5 Items  Auto renew,4320726024250,5
Gear Up - 2 Items,4320731365434,2
Gear Up - 2 Items  Auto renew,4320731365434,2
Gear Up - 3 Items,4320731660346,3
Gear Up - 3 Items  Auto renew,4320731660346,3
Gear Up - 5 Items,4320732905530,5
Gear Up - 5 Items  Auto renew,4320732905530,5
Golden Hour - 2 Items,2496308281402,2
Golden Hour - 2 Items  Auto renew,2496308281402,2
Golden Hour - 3 Items,2494101356602,3
Golden Hour - 3 Items  Auto renew,2494101356602,3
Golden Hour - 5 Items,2494101553210,5
Good Karma - 2 Items,4320736772154,2
Good Karma - 3 Items,4320757153850,3
Good Karma - 3 Items  Auto renew,4320757153850,3
Good Karma - 5 Items,4320757973050,5
Good Karma - 5 Items  Auto renew,4320757973050,5
Lowkey Luxe - 3 Items,2494103453754,3
Lowkey Luxe - 3 Items  Auto renew,2494103453754,3
Lowkey Luxe - 5 Items,2494103683130,5
Power of Pink - 2 Items,2514826625082,2
Power of Pink - 3 Items,2514826788922,3
Power of Pink - 5 Items,2514827083834,5
Rise & Shine - 3 Items,2477579173946,3
Ruby Sheen - 2 Items,4320735232058,2
Ruby Sheen - 3 Items,4320735559738,3
Ruby Sheen - 3 Items  Auto renew,4320735559738,3
Ruby Sheen - 5 Items,4320735985722,5
Ruby Sheen - 5 Items  Auto renew,4320735985722,5
Sangria Splash - 3 Items,2457952845882,3
Second Skin - 2 Items,2525983866938,2
Second Skin - 3 Items,2525983998010,3
Second Skin - 3 Items  Auto renew,2525983998010,3
Second Skin - 5 Items,2525984456762,5
Second Skin - 5 Items  Auto renew,2525984456762,5
Show Your Stripes - 2 Items,4320727367738,2
Show Your Stripes - 3 Items,4320729464890,3
Show Your Stripes - 3 Items  Auto renew,4320729464890,3
Show Your Stripes - 5 Items,4320730775610,5
Show Your Stripes - 5 Items  Auto renew,4320730775610,5
Steel the Show - 3 Items,2267622539322,3
Ultraviolet - 2 Items,2514832261178,2
Ultraviolet - 3 Items,2514833440826,3
Ultraviolet - 3 Items  Auto renew,2514833440826,3
Ultraviolet - 5 Items,2514833866810,5
Velvet Crush - 2 Items,2525970399290,2
Velvet Crush - 3 Items,2525970530362,3
Velvet Crush - 3 Items  Auto renew,2525970530362,3
Velvet Crush - 5 Items,2525978525754,5
Velvet Crush - 5 Items  Auto renew,2525978525754,5
Wild Heart - 3 Items,2494104535098,3
Wild Heart - 5 Items,2494104698938,5
Wild Heart - The September Collection (2019),2494104535098,555
Winter Rose - 2 Items,4320726253626,2
Winter Rose - 2 Items  Auto renew,4320726253626,2
Winter Rose - 3 Items,4320726581306,3
Winter Rose - 3 Items  Auto renew,4320726581306,3
Winter Rose - 5 Items,4320727072826,5
