product_title,shopify_product_id,prod_type
& Chill - 3 Items,4541689856058,3
A New Gray - 3 Items,4519378059322,3
Balanced Beige - 2 Items,4573583736890,2
Balanced Beige - 3 Items,4573584588858,3
Balanced Beige - 5 Items,4573589995578,5
Elemental - 2 Items,4601245335610,2
Elemental - 3 Items,4601245925434,3
Elemental - 5 Items,4601247039546,5
Elemental - 5 Items Auto renew,4601247039546,5
Full Bloom - 3 Items,4557441073210,3
Full Bloom - 5 Items,4557442252858,5
Glamazon - 3 Items,4574063263802,3
Glamazon - 5 Items,4574064017466,5
Gold Rush - 3 Items,4574078500922,3
Gold Rush - 5 Items,4574080368698,5
Guiding Light - 2 Items,4555742183482,2
Guiding Light - 3 Items,4555742609466,3
Guiding Light - 5 Items,4555743821882,5
Heart Felt - 3 Items,4541684744250,3
Heart Felt - 5 Items,4541685858362,5
Malibu Moment - 2 Items,4601261326394,2
Malibu Moment - 3 Items,4601261981754,3
Malibu Moment - 5 Items,4601266241594,5
Mauve Noir - 2 Items,4601258082362,2
Mauve Noir - 2 Items Auto renew,4601258082362,2
Mauve Noir - 3 Items,4601259884602,3
Mauve Noir - 3 Items Auto renew,4601259884602,3
Mauve Noir - 5 Items,4601260310586,5
Midnight Sky - 2 Items,4601240518714,2
Midnight Sky - 3 Items,4601240649786,3
Midnight Sky - 3 Items Auto renew,4601240649786,3
Midnight Sky - 5 Items,4601242091578,5
Namaste In - 2 Items,4557439467578,2
Namaste In - 3 Items,4557439860794,3
Namaste In - 5 Items,4557440254010,5
Polar Perfection - 2 Items,4601237143610,2
Polar Perfection - 2 Items Auto renew,4601237143610,2
Polar Perfection - 3 Items,4601237667898,3
Polar Perfection - 3 Items Auto renew,4601237667898,3
Polar Perfection - 5 Items,4601238028346,5
Polar Perfection - 5 Items Auto renew,4601238028346,5
Posies In Paris - 2 Items,4601252020282,2
Posies In Paris - 3 Items,4601253134394,3
Posies In Paris - 3 Items Auto renew,4601253134394,3
Posies In Paris - 5 Items,4601254576186,5
Posies In Paris - 5 Items Auto renew,4601254576186,5
Positively Pink - 2 Items,4556891684922,2
Positively Pink - 3 Items,4556893585466,3
Positively Pink - 3 Items Auto renew,4556893585466,3
Positively Pink - 5 Items,4556894175290,5
Press Paws - 3 Items,4541686972474,3
Purple Haze - 2 Items,4574052548666,2
Purple Haze - 3 Items,4574053400634,3
Purple Haze - 5 Items,4574054285370,5
Wine Down - 3 Items,4574083186746,3
Wine Down - 5 Items,4574084071482,5
Winter Bloom - 2 Items,4601238618170,2
Winter Bloom - 2 Items Auto renew,4601238618170,2
Winter Bloom - 3 Items,4601239044154,3
Winter Bloom - 3 Items Auto renew,4601239044154,3
Winter Bloom - 5 Items,4601239699514,5
Winter Bloom - 5 Items Auto renew,4601239699514,5
