product_title,shopify_product_id,prod_type
Balanced Beige - 3 Items,4573584588858,3
Balanced Beige - 5 Items,4573589995578,5
Elemental - 2 Items,4601245335610,2
Elemental - 3 Items,4601245925434,3
Elemental - 5 Items,4601247039546,5
Elemental - 5 Items Auto renew,4601247039546,5
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Ellie Picks - 5 Items Auto renew,4399742910522,5
Full Bloom - 3 Items,4557441073210,3
Guiding Light - 3 Items,4555742609466,3
Heart Felt - 5 Items,4541685858362,5
Mauve Noir - 3 Items,4601259884602,3
Midnight Sky - 2 Items,4601240518714,2
Midnight Sky - 2 Items Auto renew,4601240518714,2
Midnight Sky - 3 Items,4601240649786,3
Midnight Sky - 5 Items,4601242091578,5
Namaste In - 3 Items,4557439860794,3
Polar Perfection - 2 Items,4601237143610,2
Polar Perfection - 3 Items,4601237667898,3
Polar Perfection - 5 Items,4601238028346,5
Posies In Paris - 2 Items,4601252020282,2
Posies In Paris - 3 Items,4601253134394,3
Posies In Paris - 5 Items,4601254576186,5
Purple Haze - 3 Items,4574053400634,3
Purple Haze - 5 Items,4574054285370,5
Winter Bloom - 3 Items,4601239044154,3
Winter Bloom - 5 Items,4601239699514,5
