product_title,shopify_product_id,prod_type
Back To Basics - 5 Items,4408142102586,5
Back To Basics - 5 Items Auto renew,4408142102586,5
Blue Skies - 5 Items,4398409089082,5
Boss Babe - 5 Items,2525981343802,5
Calypso - 5 Items,4429052051514,5
Citrus Kick - 5 Items,4428803113018,5
Cloud Nine - 5 Items,4466296094778,5
Cloud Nine - 5 Items Auto renew,4466296094778,5
Coastal Cool - 5 Items,4465964286010,5
Coastal Cool - 5 Items Auto renew,4465964286010,5
Cupids Kiss - 5 Items,4382378360890,5
Dream On - 5 Items,4408154161210,5
Dream On - 5 Items Auto renew,4408154161210,5
Ellie Picks - 5 Items,4399742910522,5
Emerald Tide - 5 Items,4466306973754,5
Emerald Tide - 5 Items Auto renew,4466306973754,5
Fresh Tone - 5 Items,4465957109818,5
Fresh Tone - 5 Items Auto renew,4465957109818,5
Making Moves - 5 Items,4398463877178,5
Mineral Love - 5 Items,4465961369658,5
Mineral Love - 5 Items Auto renew,4465961369658,5
Off The Grid - 5 Items,4465974837306,5
Off The Grid - 5 Items Auto renew,4465974837306,5
Papaya Summer - 5 Items,4466293407802,5
Papaya Summer - 5 Items Auto renew,4466293407802,5
Paradise Cove - 5 Items,4366059143226,5
Peachy Keen - 5 Items,4466305335354,5
Peachy Keen - 5 Items Auto renew,4466305335354,5
Roll The Dye - 5 Items,4466299371578,5
Roll The Dye - 5 Items Auto renew,4466299371578,5
Seeing Stars - 5 Items,1446656999482,5
Show Your Stripes - 5 Items,4320730775610,5
Show Your Stripes - 5 Items  Auto renew,4320730775610,5
Spring Into Action - 5 Items,4438605267002,5
Tie Game - 5 Items,4429130137658,5
Under The Radar - 5 Items,4399643066426,5
Wind Breaker - 5 Items,4466302419002,5
Wind Breaker - 5 Items Auto renew,4466302419002,5
