product_title,shopify_product_id,prod_type
Balanced Beige - 5 Items,4573589995578,5
Coral Kissed - 2 Items,4620659195962,2
Coral Kissed - 3 Items,4620659523642,3
Coral Kissed - 5 Items,4620659851322,5
Elemental - 2 Items,4601245335610,2
Elemental - 2 Items Auto renew,4601245335610,2
Elemental - 3 Items,4601245925434,3
Elemental - 3 Items Auto renew,4601245925434,3
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 3 Items Auto renew,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Force Of Nature - 3 Items,4522157015098,3
Funfetti - 2 Items,4620660801594,2
Funfetti - 3 Items,4620660965434,3
Funfetti - 5 Items,4620661555258,5
Grayscale - 3 Items,4620670402618,3
Guiding Light - 2 Items,4555742183482,2
Guiding Light - 3 Items,4555742609466,3
Guiding Light - 5 Items,4555743821882,5
Iridescent Dreams - 2 Items,4637340467258,2
Iridescent Dreams - 3 Items,4637681647674,3
Iridescent Dreams - 5 Items,4637692788794,5
Iridescent Dreams - 5 Items Auto renew,4637692788794,5
Island Splash - 2 Items,4620664504378,2
Island Splash - 3 Items,4620664733754,3
Island Splash - 5 Items,4620665782330,5
Island Sunrise - 3 Items,4620663455802,3
Island Sunrise - 5 Items Auto renew,4620663980090,5
Liftoff - 2 Items,4641336721466,2
Liftoff - 3 Items,4641337147450,3
Liftoff - 3 Items Auto renew,4641337147450,3
Liftoff - 5 Items,4641679015994,5
Liftoff - 5 Items Auto renew,4641679015994,5
Lunar Flare - 2 Items,4541682417722,2
Midnight Garden - 2 Items,4638111268922,2
Midnight Garden - 2 Items Auto renew,4638111268922,2
Midnight Garden - 3 Items,4638111989818,3
Midnight Garden - 3 Items Auto renew,4638111989818,3
Midnight Garden - 5 Items,4638113300538,5
Midnight Garden - 5 Items Auto renew,4638113300538,5
Midnight Sky - 2 Items,4601240518714,2
Midnight Sky - 2 Items Auto renew,4601240518714,2
Midnight Sky - 3 Items,4601240649786,3
Midnight Sky - 3 Items Auto renew,4601240649786,3
Midnight Sky - 5 Items,4601242091578,5
Midnight Sky - 5 Items Auto renew,4601242091578,5
Namaste In - 2 Items Auto renew,4557439467578,2
Off The Grid - 5 Items,4465974837306,5
On The Run - 2 Items,4620652576826,2
On The Run - 3 Items,4620652773434,3
On The Run - 3 Items Auto renew,4620652773434,3
On The Run - 5 Items,4620653887546,5
Polar Perfection - 2 Items,4601237143610,2
Polar Perfection - 3 Items,4601237667898,3
Polar Perfection - 3 Items Auto renew,4601237667898,3
Polar Perfection - 5 Items,4601238028346,5
Posies In Paris - 2 Items,4601252020282,2
Posies In Paris - 3 Items,4601253134394,3
Positively Pink - 3 Items,4556893585466,3
Positively Pink - 5 Items,4556894175290,5
Punchline - 2 Items,4641300774970,2
Punchline - 3 Items,4641334853690,3
Punchline - 3 Items Auto renew,4641334853690,3
Punchline - 5 Items,4641335967802,5
Purple Haze - 2 Items,4574052548666,2
Purple Haze - 3 Items,4574053400634,3
Purple Haze - 3 Items Auto renew,4574053400634,3
Purple Haze - 5 Items,4574054285370,5
Rosy Outlook - 2 Items,4637700358202,2
Rosy Outlook - 2 Items Auto renew,4637700358202,2
Rosy Outlook - 3 Items,4637714186298,3
Rosy Outlook - 3 Items Auto renew,4637714186298,3
Rosy Outlook - 5 Items,4637731094586,5
Rosy Outlook - 5 Items Auto renew,4637731094586,5
Tilt The Scale - 2 Items,4637735518266,2
Tilt The Scale - 3 Items,4638087872570,3
Tilt The Scale - 3 Items Auto renew,4638087872570,3
Tilt The Scale - 5 Items,4638110941242,5
Wine Down - 3 Items,4574083186746,3
Winter Bloom - 2 Items,4601238618170,2
Winter Bloom - 3 Items,4601239044154,3
Winter Bloom - 5 Items,4601239699514,5
