product_title,shopify_product_id,prod_type,prepaid
Bahama Babe - 2 Items,4399644442682,2,f
Bahama Babe - 3 Items,4399644639290,3,f
Bahama Babe - 5 Items,4399644934202,5,f
Berry Crush - 2 Items,4366057209914,2,f
Berry Crush - 3 Items,4366057406522,3,f
Berry Crush - 5 Items,4366057963578,5,f
Berry Crush - 5 Items  Auto renew,4366057963578,5,f
Blue Skies - 2 Items,4398406959162,2,f
Blue Skies - 3 Items,4398408073274,3,f
Blue Skies - 5 Items,4398409089082,5,f
Calypso - 2 Items,4429044121658,2,f
Calypso - 3 Items,4429051559994,3,f
Calypso - 5 Items,4429052051514,5,f
Citrus Kick - 2 Items,4428799148090,2,f
Citrus Kick - 3 Items,4428800327738,3,f
Citrus Kick - 3 Items Auto renew,4428800327738,3,f
Citrus Kick - 5 Items,4428803113018,5,f
City Limits - 2 Items,4366060453946,2,f
City Limits - 3 Items,4366061174842,3,f
City Limits - 5 Items,4366066024506,5,f
Cupids Kiss - 2 Items,4382377443386,2,f
Cupids Kiss - The March Collection (2020),4382378229818,3,f
Dream On - 3 Items,4408153833530,3,f
Ellie Picks - 3 Items,4399742746682,3,f
Ellie Picks - 5 Items,4399742910522,5,f
Floral Bliss - 3 Items,4320725106746,3,f
Golden Girl - 2 Items,4438599565370,2,f
Golden Girl - 3 Items,4438600876090,3,f
Golden Girl - 5 Items,4438603169850,5,f
Kaleidoscope - 2 Items,4408154587194,2,f
Kaleidoscope - 3 Items,4408154718266,3,f
Matcha Cha Cha - 2 Items,4408142331962,2,f
Matcha Cha Cha - 3 Items,4408142463034,3,f
Matcha Cha Cha - 3 Items Auto renew,4408142463034,3,f
Matcha Cha Cha - 5 Items,4408153047098,5,f
Natural Fit - 2 Items,4428897943610,2,f
Natural Fit - 3 Items,4428899516474,3,f
Natural Fit - 5 Items,4428900532282,5,f
Pacific Mist - 2 Items,4427335696442,2,f
Pacific Mist - 3 Items,4427336384570,3,f
Pacific Mist - 5 Items,4427336777786,5,f
Paradise Cove - 2 Items,4366058225722,2,f
Paradise Cove - 3 Items,4366058782778,3,f
Paradise Cove - 5 Items,4366059143226,5,f
Pinky Swear - 2 Items,4429078659130,2,f
Pinky Swear - 3 Items,4429079576634,3,f
Pinky Swear - 5 Items,4429080035386,5,f
Pinky Swear - 5 Items Auto renew,4429080035386,5,f
Spring Into Action - 2 Items,4438603726906,2,f
Spring Into Action - 3 Items,4438604349498,3,f
Spring Into Action - 5 Items,4438605267002,5,f
Supernova - 2 Items,4382368825402,2,f
Tie Game - 2 Items,4429126041658,2,f
Tie Game - 3 Items,4429126860858,3,f
Tie Game - 5 Items,4429130137658,5,f
Under The Radar - 3 Items,4398464565306,3,f
