product_title,shopify_product_id,prod_type,prepaid
A New Gray - 5 Items,4519378387002,5,f
A New Gray - 5 Items Auto renew,4519378387002,5,f
Back To Basics - 5 Items,4408142102586,5,f
Blush Dreams - 5 Items,4519487569978,5,f
Blush Dreams - 5 Items Auto renew,4519487569978,5,f
Bright Idea - 5 Items,4494810087482,5,f
City Limits - 5 Items,4366066024506,5,f
City Limits - 5 Items  Auto renew,4366066024506,5,f
Cloud Nine - 5 Items,4466296094778,5,f
Color Pop - 5 Items,4522231005242,5,f
Color Pop - 5 Items Auto renew,4522231005242,5,f
Ellie Picks - 5 Items,4399742910522,5,f
Feel The Beet - 5 Items,4522215735354,5,f
Feel The Beet - 5 Items Auto renew,4522215735354,5,f
Feels Like Summer - 5 Items  Auto renew,2457953599546,5,f
Fresh Tone - 5 Items,4465957109818,5,f
Gear Up - 5 Items,4320732905530,5,f
Gear Up - 5 Items  Auto renew,4320732905530,5,f
Making Moves - 5 Items,4398463877178,5,f
Moonlight Rose - 5 Items,4495548743738,5,f
Nightfall - 5 Items,4519394148410,5,f
Nightfall - 5 Items Auto renew,4519394148410,5,f
Olive Grove - 5 Items,4519453163578,5,f
Olive Grove - 5 Items Auto renew,4519453163578,5,f
Ooh La Lavender - 5 Items,4494812184634,5,f
Ruby Sheen - 5 Items,4320735985722,5,f
Second Skin - 5 Items,2525984456762,5,f
Second Skin - 5 Items  Auto renew,2525984456762,5,f
Silver Lining - 5 Items,4522152099898,5,f
Silver Lining - 5 Items Auto renew,4522152099898,5,f
Summer Sunset - 5 Items,4489685401658,5,f
Summer Sunset - 5 Items Auto renew,4489685401658,5,f
Summer Thunder - 5 Items,4522208526394,5,f
Summer Thunder - 5 Items Auto renew,4522208526394,5,f
Sunkissed - 5 Items,4522190929978,5,f
Sweet Spot - 5 Items,4522155376698,5,f
Trail Blazer - 5 Items,4522280779834,5,f
Trail Blazer - 5 Items Auto renew,4522280779834,5,f
Twilight - 5 Items,4494784757818,5,f
Twilight - 5 Items Auto renew,4494784757818,5,f
Wild Instinct - 5 Items,4494788886586,5,f
Wild Instinct - 5 Items Auto renew,4494788886586,5,f
Wind Breaker - 5 Items,4466302419002,5,f
