count,product_title,shopify_product_id
27,Adventure Time - 2 Items,2503573962810
339,Adventure Time - 3 Items,2477581697082
36,Power of Pink - 2 Items,2514826625082
1,Golden Hour - 3 Items  Auto renew,2494101356602
435,Ultraviolet - 5 Items,2514833866810
1,Sangria Splash - 5 Items  Auto renew,2457953173562
6,English Fog - 5 Items  Auto renew,2514830852154
11,Sangria Splash - 2 Items,2503579500602
49,Sparkling Onyx - 2 Items,2514843631674
9,Victory Lap - 5 Items,2372783145018
1,First Chakra - 2 Items,2496307560506
33,Mauve Muse - 5 ITEMS,2294127558714
18,Sparkling Onyx - 3 Items  Auto renew,2514843762746
9,Wildflower - 2 Items,2520606408762
5,Power of Pink - 5 Items  Auto renew,2514827083834
13,Golden Hour - 2 Items,2496308281402
1,Wrap Me Up - 3 Items,2076469657658
1,Rise & Shine - 3 Items,2477579173946
335,Golden Hour - 3 Items,2494101356602
47,Power of Pink - 3 Items  Auto renew,2514826788922
31,Adventure Time - 5 Items,2477581795386
2,Victory Lap - 2 Items,2520604901434
1,Desert Bloom - 3 Items,2372780752954
1,Brooklyn - 3 Items,2339789013050
1,Beach Bash - 5 Items,2457951633466
1,Mauve Muse - 3 ITEMS  Auto renew,2294123954234
1,Mauve Muse - 5 ITEMS  Auto renew,2294127558714
1,Good Intentions - 3 Items,2405031280698
2309,Sparkling Onyx - 3 Items,2514843762746
2290,Power of Pink - 3 Items,2514826788922
48,Wildflower - 5 Items,2477583040570
1,Beach Bash - 3 Items,2457951502394
37,Sangria Splash - 5 Items,2457953173562
323,Sangria Splash - 3 Items,2457952845882
349,Power of Pink - 5 Items,2514827083834
457,English Fog - 5 Items,2514830852154
254,Wild Heart - 3 Items,2494104535098
2,English Fog - 2 Items  Auto renew,2514830327866
80,English Fog - 2 Items,2514830327866
1,Wildflower - 3 Items  Auto renew,2477581959226
2,Sparkling Onyx - 5 Items  Auto renew,2514844155962
14,English Fog - 3 Items  Auto renew,2514830491706
1,Prism Perfect - 3 Items,2339796320314
11,Mauve Muse - 2 Items,2520607981626
1,Mauve Muse - 3 ITEMS,2294123954234
113,Victory Lap - 3 Items,2372782751802
3,Adventure Time - 3 Items  Auto renew,2477581697082
25,Wild Heart - 5 Items,2494104698938
30,Ultraviolet - 2 Items,2514832261178
1,Lowkey Luxe - 3 Items,2494103453754
3367,English Fog - 3 Items,2514830491706
14,Wild Heart - 2 Items,2496309329978
41,Golden Hour - 5 Items,2494101553210
17,Ultraviolet - 3 Items  Auto renew,2514833440826
2,First Chakra - 3 Items,2494099554362
276,Wildflower - 3 Items,2477581959226
2,Sparkling Onyx - 2 Items  Auto renew,2514843631674
322,Sparkling Onyx - 5 Items,2514844155962
3014,Ultraviolet - 3 Items,2514833440826
3,Ultraviolet - 5 Items  Auto renew,2514833866810
263,Mauve Muse - 3 Items,2294123954234
3,Sangria Splash - 3 Items  Auto renew,2457952845882
