product_title,shopify_product_id
Bayside Breeze - 2 Items,4382371348538
Bayside Breeze - 2 Items Auto renew,4382371348538
Bayside Breeze - 3 Items,4382371840058
Bayside Breeze - 3 Items Auto renew,4382371840058
Bayside Breeze - 5 Items,4382372233274
Bayside Breeze - 5 Items Auto renew,4382372233274
Berry Crush - 3 Items,4366057406522
Berry Crush - The January Collection (2020),4366057406522
Boss Babe - 2 Items,2525979639866
Boss Babe - 2 Items  Auto renew,2525979639866
Boss Babe - 3 Items,2525980524602
Boss Babe - 3 Items  Auto renew,2525980524602
Boss Babe - 5 Items,2525981343802
Boss Babe - 5 Items  Auto renew,2525981343802
Canyon Sunset - 2 Items,2525982425146
Canyon Sunset - 3 Items,2525982588986
Canyon Sunset - 5 Items,2525983178810
City Limits - 3 Items,4366061174842
City Limits - 5 Items,4366066024506
City Limits - The January Collection (2020),4366061174842
Clean Slate - 2 Items,4373264597050
Clean Slate - 2 Items Auto renew,4373264597050
Clean Slate - 3 Items,4373264957498
Clean Slate - 3 Items Auto renew,4373264957498
Clean Slate - 5 Items,4373306998842
Clean Slate - 5 Items Auto renew,4373306998842
Comfort Zone - 3 Items,4320734609466
Crunch Time - 3 Items,4366079787066
Crunch Time - 5 Items,4366080311354
Cupids Kiss - 2 Items,4382377443386
Cupids Kiss - 2 Items Auto renew,4382377443386
Cupids Kiss - 3 Items,4382378229818
Cupids Kiss - 3 Items Auto renew,4382378229818
Cupids Kiss - 5 Items,4382378360890
English Fog - 3 Items,2514830491706
Fierce & Floral - 3 Items,2227262881850
First Chakra - 3 Items,2494099554362
Floral Bliss - 3 Items,4320725106746
Gear Up - 2 Items,4320731365434
Gear Up - 3 Items,4320731660346
Gear Up - 3 Items  Auto renew,4320731660346
Gear Up - 5 Items,4320732905530
Good Intentions - 3 Items,2405031280698
Good Karma - 3 Items,4320757153850
Hidden Gem - 2 Items,4382369808442
Hidden Gem - 2 Items Auto renew,4382369808442
Hidden Gem - 3 Items,4382369906746
Hidden Gem - 3 Items Auto renew,4382369906746
Hidden Gem - 5 Items,4382370824250
Hidden Gem - 5 Items Auto renew,4382370824250
Ivy League - 2 Items,4366077132858
Ivy League - 3 Items,4366077591610
Ivy League - 5 Items,4366079098938
Knockout - 2 Items,4382379376698
Knockout - 2 Items Auto renew,4382379376698
Knockout - 3 Items,4382379475002
Knockout - 3 Items Auto renew,4382379475002
Knockout - 5 Items,4382379999290
Knockout - 5 Items Auto renew,4382379999290
Out Of The Blue - 2 Items,4385218494522
Out Of The Blue - 2 Items Auto renew,4385218494522
Out Of The Blue - 3 Items,4385218953274
Out Of The Blue - 3 Items Auto renew,4385218953274
Out Of The Blue - 5 Items,4385220067386
Out Of The Blue - 5 Items Auto renew,4385220067386
Paradise Cove - 3 Items,4366058782778
Paradise Cove - 5 Items,4366059143226
Ready Set Go - 2 Items,4383945261114
Ready Set Go - 2 Items Auto renew,4383945261114
Ready Set Go - 3 Items,4385207582778
Ready Set Go - 3 Items Auto renew,4385207582778
Ready Set Go - 5 Items,4385217249338
Second Skin - 2 Items,2525983866938
Second Skin - 2 Items  Auto renew,2525983866938
Second Skin - 3 Items,2525983998010
Second Skin - 3 Items  Auto renew,2525983998010
Second Skin - 5 Items,2525984456762
Second Skin - 5 Items  Auto renew,2525984456762
Show Your Stripes - 3 Items,4320729464890
Simple Life - 3 Items,2457952026682
Supernova - 2 Items,4382368825402
Supernova - 2 Items Auto renew,4382368825402
Supernova - 3 Items,4382368890938
Supernova - 3 Items Auto renew,4382368890938
Supernova - 5 Items,4382369349690
Supernova - 5 Items Auto renew,4382369349690
Ultraviolet - 2 Items,2514832261178
Ultraviolet - 2 Items  Auto renew,2514832261178
Ultraviolet - 3 Items,2514833440826
Ultraviolet - 3 Items  Auto renew,2514833440826
Ultraviolet - 5 Items,2514833866810
Velvet Crush - 3 Items,2525970530362
Winter Rose - 3 Items,4320726581306
