count,product_title,shopify_product_id
4,& Chill - 2 Items,4541689593914
106,& Chill - 3 Items,4541689856058
2,& Chill - 3 Items Auto renew,4541689856058
20,& Chill - 5 Items,4541690282042
1,& Chill - 5 Items Auto renew,4541690282042
9,A New Gray - 3 Items,4519378059322
1,A New Gray - 5 Items,4519378387002
1,A New Gray - 5 Items Auto renew,4519378387002
18,Blush Dreams - 3 Items,4519459323962
3,Blush Dreams - 5 Items,4519487569978
1,Citrus Kick - 3 Items,4428800327738
11,Color Pop - 3 Items,4522218684474
4,Color Pop - 5 Items,4522231005242
2,Cupids Kiss - 5 Items,4382378360890
7,Ellie Picks - 3 Items,4399742746682
14,Ellie Picks - 5 Items,4399742910522
2,Feel The Beet - 3 Items,4522211442746
19,Free Fall - 2 Items,4541679042618
426,Free Fall - 3 Items,4541679108154
2,Free Fall - 3 Items Auto renew,4541679108154
25,Free Fall - 5 Items,4541679599674
1,Fresh Tone - 2 Items,4465955569722
4,Heart Felt - 2 Items,4541684613178
55,Heart Felt - 3 Items,4541684744250
12,Heart Felt - 5 Items,4541685858362
1,Heart Felt - 5 Items Auto renew,4541685858362
1,Hibiscus Love - 3 Items,4494807302202
2,Incognito - 2 Items,4543534530618
41,Incognito - 3 Items,4543534792762
5,Incognito - 5 Items,4543535087674
1,Laguna Getaway - 2 Items,4495551397946
20,Laguna Getaway - 3 Items,4495555231802
3,Laguna Getaway - 5 Items,4495556706362
54,Lunar Flare - 2 Items,4541682417722
727,Lunar Flare - 3 Items,4541682778170
5,Lunar Flare - 3 Items Auto renew,4541682778170
100,Lunar Flare - 5 Items,4541683269690
2,Lunar Flare - 5 Items Auto renew,4541683269690
23,Mint Condition - 3 Items,4543538757690
3,Mint Condition - 3 Items Auto renew,4543538757690
15,Mint Condition - 5 Items,4543539118138
1,Moonlight Rose - 2 Items Auto renew,4495535734842
39,Moonlight Rose - 3 Items,4495537635386
1,Moonlight Rose - 3 Items Auto renew,4495537635386
3,Moonlight Rose - 5 Items,4495548743738
1,Olive Grove - 3 Items,4519443431482
5,Pacific Crest - 2 Items,4542914854970
194,Pacific Crest - 3 Items,4542914953274
1,Pacific Crest - 3 Items Auto renew,4542914953274
4,Pacific Crest - 5 Items,4543533383738
26,Press Paws - 2 Items,4541686841402
403,Press Paws - 3 Items,4541686972474
13,Press Paws - 5 Items,4541687496762
1,Renewal - 2 Items,4494771486778
1,Second Skin - 2 Items,2525983866938
15,Second Skin - 3 Items,2525983998010
5,Second Skin - 5 Items,2525984456762
1,Show Your Stripes - 3 Items,4320729464890
1,Silver Lining - 3 Items,4522150985786
35,Solar Flare - 2 Items,4541680418874
2,Solar Flare - 2 Items Auto renew,4541680418874
276,Solar Flare - 3 Items,4541680549946
5,Solar Flare - 3 Items Auto renew,4541680549946
42,Solar Flare - 5 Items,4541681107002
2,Solar Flare - 5 Items Auto renew,4541681107002
1,Street Smarts - 3 Items,2154512613434
2,Trail Blazer - 5 Items,4522280779834
1,Twilight - 5 Items,4494784757818
10,Urban Instinct - 2 Items,4541675896890
1,Urban Instinct - 2 Items Auto renew,4541675896890
280,Urban Instinct - 3 Items,4541676093498
6,Urban Instinct - 3 Items Auto renew,4541676093498
125,Urban Instinct - 5 Items,4541677895738
2,Urban Instinct - 5 Items Auto renew,4541677895738
3,Wine Not - 2 Items,4541693722682
92,Wine Not - 3 Items,4541693788218
2,Wine Not - 3 Items Auto renew,4541693788218
14,Wine Not - 5 Items,4541710467130
1,Wine Not - 5 Items Auto renew,4541710467130
