product_title,shopify_product_id,threepk,prepaid
Staging Monthly Box,614565543968,f,f
VIP 3 Monthly Box,614573408288,f,t
Street Smarts - 3 Items,1663703384115,t,f
Knot Your Average - 3 Items,1644903628851,t,f
Think Pink - 3 Items,1452468994099,t,f
Snug Life - 3 Items,1607818903603,t,f
Wrap Me Up - 5 Items,1494851452979,f,f
Lounge Life - 5 Items,1452468076595,f,f
Peace & Pastels - 5 Items,1644904382515,f,f
Snug Life - 5 Items,1607819034675,f,f
Fierce & Floral - 3 Items,1644903235635,t,f
3 Months 3 items,1421100974131,t,t
Street Smarts - 5 items,1607819886643,f,f
Vinyasa Vibes - 3 Items,1401707069491,t,f
Knot Your Average - 5 Items,1644903890995,f,f
Vinyasa Vibes - 5 Items,1401707135027,f,f
3 MONTHS,1494813966387,f,f
True Blue - 3 Items,1663704662067,t,f
Peace & Pastels - 3 Items,1644904251443,t,f
3 MONTHS,7814019397,f,t
Never Basic - 5 Items,1612240027699,f,f
True Blue - 5 Items,1663705514035,f,f
Fierce & Floral - 5 Items,1644903432243,f,f
3 Months - 3 Items,1635509436467,t,t
Street Smarts - 5 Items,1663703973939,f,f
Blush Crush - 3 Items,1607818182707,t,f
3 Months - 5 Items,1635509469235,f,t
Never Basic - 3 Items,1612238389299,t,f
3 MONTHS,614485950496,f,t
Street Dreams - 5 Items,1452468797491,f,f
Wrap Me Up - 3 Items,1494851289139,t,f
Street Smarts - 3 Items,1607819821107,t,f
Street Dreams - 3 Items,1452468731955,t,f
