count,product_title,shopify_product_id
1,Staging Monthly Box,614565543968
1,Infusion Tee (white),782063894620
2,VIP 3 Monthly Box,614573408288
1,Effie Tank (black),1494835855411
729,Street Smarts - 3 Items,1663703384115
963,Knot Your Average - 3 Items,1644903628851
1,Seamless Capri Legging (black),1337218826332
1,Think Pink - 3 Items,1452468994099
1,Snug Life - 3 Items,1607818903603
2,Wrap Me Up - 5 Items,1494851452979
1,Lounge Life - 5 Items,1452468076595
44,Peace & Pastels - 5 Items,1644904382515
2,Snug Life - 5 Items,1607819034675
4982,Fierce & Floral - 3 Items,1644903235635
22,3 Months 3 items,1421100974131
2,Street Smarts - 5 items,1607819886643
1,Vinyasa Vibes - 3 Items,1401707069491
136,Knot Your Average - 5 Items,1644903890995
1,Solid High Waist Capri (dutch blue),781110476892
1,Vinyasa Vibes - 5 Items,1401707135027
75,3 MONTHS,1494813966387
853,True Blue - 3 Items,1663704662067
1,Moana Bra (black),1337218007132
1,Wixson Jogger (heather grey),1337219252316
263,Peace & Pastels - 3 Items,1644904251443
2,3 MONTHS,7814019397
1,Never Basic - 5 Items,1612240027699
212,True Blue - 5 Items,1663705514035
1,Carrie Criss Cross Tummy Control,614499745824
1273,Fierce & Floral - 5 Items,1644903432243
17,3 Months - 3 Items,1635509436467
137,Street Smarts - 5 Items,1663703973939
1,Moana Bra (cerise),1337218039900
3,Blush Crush - 3 Items,1607818182707
4,3 Months - 5 Items,1635509469235
1,Never Basic - 3 Items,1612238389299
5,3 MONTHS,614485950496
86,Street Dreams - 5 Items,1452468797491
1,Celeste Ankle Legging (atlantic deep),1337216303196
2,Wrap Me Up - 3 Items,1494851289139
5,Street Smarts - 3 Items,1607819821107
1,Lexi Singlet (camellia rose),782064156764
548,Street Dreams - 3 Items,1452468731955
